0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1937-1938,15,30,16,4,8,18,22,50,-28
1940-1941,6,30,31,11,9,10,45,38,7
1941-1942,13,30,24,8,8,14,34,47,-13
1942-1943,10,30,28,11,6,13,34,44,-10
1946-1947,9,38,37,11,15,12,40,52,-12
1947-1948,5,40,44,16,12,12,48,41,7
1948-1949,16,38,31,11,9,18,40,58,-18
1949-1950,8,38,40,17,6,15,66,60,6
1950-1951,14,38,32,10,12,16,48,69,-21
1951-1952,12,38,34,13,8,17,54,61,-7
1952-1953,9,34,32,10,12,12,52,53,-1
1953-1954,10,34,31,10,11,13,54,53,1
1954-1955,15,34,28,8,12,14,35,38,-3
1955-1956,15,34,31,11,9,14,50,55,-5
1956-1957,15,34,31,9,13,12,36,44,-8
1957-1958,17,34,28,6,16,12,29,49,-20
1959-1960,11,34,31,9,13,12,31,39,-8
1960-1961,10,34,31,9,13,12,35,41,-6
1961-1962,6,34,38,13,12,9,39,38,1
1962-1963,8,34,34,12,10,12,43,44,-1
1963-1964,11,34,30,7,16,11,26,43,-17
1964-1965,13,34,30,7,16,11,19,28,-9
1965-1966,14,34,29,9,11,14,24,37,-13
1966-1967,11,34,31,9,13,12,28,43,-15
1967-1968,13,30,25,10,5,15,26,42,-16
1968-1969,16,30,19,4,11,15,25,45,-20
1971-1972,10,30,26,9,8,13,21,26,-5
1972-1973,14,30,24,5,14,11,16,33,-17
1977-1978,9,30,27,6,15,9,28,32,-4
1978-1979,15,30,24,6,12,12,20,33,-13
1984-1985,10,30,28,5,18,7,20,32,-12
1985-1986,8,30,29,7,15,8,27,26,1
1986-1987,15,30,21,7,7,16,22,32,-10
1988-1989,6,34,36,11,14,9,37,32,5
1989-1990,7,34,35,12,11,11,36,43,-7
1990-1991,10,34,35,11,13,10,38,37,1
1991-1992,11,34,34,10,14,10,31,33,-2
1992-1993,8,34,36,14,8,12,42,44,-2
1993-1994,17,34,21,5,11,18,35,65,-30
1995-1996,13,34,39,11,6,17,38,50,-12
1996-1997,10,34,44,11,11,12,44,46,-2
1997-1998,16,34,32,7,11,16,25,48,-23
2000-2001,7,34,44,10,14,10,38,34,4
2001-2002,9,34,45,12,9,13,41,50,-9
2002-2003,15,34,38,8,14,12,35,47,-12
2004-2005,20,38,35,8,11,19,34,45,-11
2006-2007,8,38,50,12,14,12,56,54,2
2007-2008,9,38,48,12,12,14,52,56,-4
2008-2009,11,38,47,13,8,17,45,48,-3
2009-2010,18,38,35,9,8,21,37,53,-16
2011-2012 (-6),12,38,46,13,13,12,41,43,-2
2012-2013 (-2),15,38,40,11,9,18,39,56,-17
2013-2014,11,38,50,15,5,18,43,51,-8
2014-2015,17,38,37,7,16,15,38,57,-19
2015-2016,13,38,45,11,12,15,41,47,-6
2016-2017,4,38,72,21,9,8,62,41,21
2017-2018,7,38,60,16,12,10,57,39,18
2018-2019,3,38,69,20,9,9,77,46,31
2019-2020,3,38,78,23,9,6,98,48,50
2020-2021,3,38,78,23,9,6,90,47,43
2021-2022,8,38,59,16,11,11,65,48,17
2022-2023,5,38,64,19,7,12,66,48,18
2023-2024,4,38,69,21,6,11,72,42,30
2024-2025,-,6,7,2,1,3,11,12,-1
