0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,7,34,36,14,8,12,56,46,10
1930-1931,3,34,48,21,6,7,81,33,48
1931-1932,2,34,50,21,8,5,85,33,52
1932-1933,3,34,42,15,12,7,69,33,36
1933-1934,4,34,42,16,10,8,53,33,20
1934-1935,6,30,30,11,8,11,46,34,12
1935-1936,1,30,40,15,10,5,39,21,18
1936-1937,1,30,42,15,12,3,45,26,19
1937-1938,5,30,37,14,9,7,46,34,12
1938-1939,1,30,42,16,10,4,53,31,22
1939-1940,2,30,41,16,9,5,44,23,21
1940-1941,1,30,39,16,7,7,60,37,23
1941-1942,7,30,29,12,5,13,50,37,13
1942-1943,6,30,29,12,5,13,53,39,14
1946-1947,5,38,39,15,9,14,42,41,1
1947-1948,9,40,40,14,12,14,51,52,-1
1948-1949,6,38,41,12,17,9,53,46,7
1949-1950,15,38,32,8,16,14,54,63,-9
1950-1951,7,38,41,16,9,13,61,59,2
1951-1952,16,38,33,11,11,16,45,55,-10
1952-1953,5,34,39,16,7,11,52,43,9
1953-1954,7,34,36,14,8,12,50,41,9
1954-1955,4,34,40,15,10,9,56,47,9
1955-1956,5,34,37,15,7,12,68,52,16
1956-1957,6,34,35,12,11,11,54,48,6
1957-1958,6,34,34,12,10,12,47,43,4
1958-1959,10,34,31,10,11,13,47,53,-6
1959-1960,5,34,36,14,8,12,50,42,8
1960-1961,9,34,31,10,11,13,44,51,-7
1961-1962,4,34,45,19,7,8,57,41,16
1962-1963,4,34,42,17,8,9,58,39,19
1963-1964,1,34,54,22,10,2,54,18,36
1964-1965,6,34,34,11,12,11,43,42,1
1965-1966,2,34,46,19,8,7,60,37,23
1966-1967,3,34,45,18,9,7,48,27,21
1967-1968,6,30,33,11,11,8,30,23,7
1968-1969,9,30,29,10,9,11,27,36,-9
1969-1970,10,30,28,6,16,8,22,24,-2
1970-1971,5,30,34,10,14,6,30,24,6
1971-1972,11,30,25,7,11,12,28,36,-8
1972-1973,7,30,31,11,9,10,33,31,2
1973-1974,9,30,29,6,17,7,35,36,-1
1974-1975,7,30,32,10,12,8,36,33,3
1975-1976,7,30,32,9,14,7,32,32,0
1976-1977,12,30,27,8,11,11,24,31,-7
1977-1978,12,30,26,7,12,11,21,32,-11
1978-1979,13,30,24,4,16,10,23,30,-7
1979-1980,8,30,30,8,14,8,23,24,-1
1980-1981 (-5),7,30,29,11,12,7,32,27,5
1981-1982,15,30,23,6,11,13,25,37,-12
1988-1989,14,34,29,8,13,13,26,43,-17
1989-1990,8,34,34,9,16,9,29,36,-7
1990-1991,18,34,18,4,10,20,29,63,-34
1996-1997,7,34,49,13,10,11,50,44,6
1997-1998,8,34,48,12,12,10,55,46,9
1998-1999,9,34,44,11,11,12,44,47,-3
1999-2000,11,34,40,9,13,12,32,39,-7
2000-2001,10,34,43,11,10,13,49,53,-4
2001-2002,7,34,52,15,7,12,40,40,0
2002-2003,11,34,41,10,11,13,39,47,-8
2003-2004,12,34,39,10,9,15,45,53,-8
2004-2005,18,38,42,9,15,14,33,36,-3
2008-2009,17,38,37,9,10,19,43,62,-19
2009-2010,17,38,42,10,12,16,42,55,-13
2010-2011 (-3),16,38,42,11,12,15,35,52,-17
2011-2012,9,38,51,13,12,13,41,43,-2
2012-2013,13,38,44,11,11,16,46,52,-6
2013-2014,19,38,29,5,14,19,28,58,-30
2015-2016,14,38,42,11,9,18,33,45,-12
2016-2017,15,38,41,11,8,19,40,58,-18
2017-2018,15,38,39,11,6,21,40,52,-12
2018-2019,10,38,44,11,11,16,48,56,-8
2019-2020,12,38,47,12,11,15,52,65,-13
2020-2021,12,38,41,10,11,17,51,65,-14
2021-2022,13,38,46,12,10,16,44,55,-11
2022-2023,9,38,54,14,12,12,53,49,4
2023-2024,5,38,68,18,14,6,54,32,22
2024-2025,-,6,7,1,4,1,7,9,-2
