0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1964-1965,7,34,34,13,8,13,33,35,-2
1965-1966,11,34,30,10,10,14,36,37,-1
1966-1967,6,34,40,13,14,7,35,17,18
1967-1968,9,30,31,12,7,11,44,38,6
1968-1969,2,30,41,14,13,3,41,18,23
1969-1970,1,30,45,17,11,2,42,11,31
1970-1971,7,30,30,8,14,8,33,35,-2
1971-1972,4,30,39,15,9,6,39,23,16
1972-1973,8,30,29,9,11,10,26,28,-2
1973-1974,10,30,28,7,14,9,25,32,-7
1974-1975,10,30,26,6,14,10,22,30,-8
1975-1976,16,30,19,5,9,16,25,52,-27
1979-1980,9,30,30,8,14,8,27,29,-2
1980-1981,6,30,30,8,14,8,29,30,-1
1981-1982,12,30,25,7,11,12,33,36,-3
1982-1983,14,30,26,6,14,10,23,33,-10
1990-1991,14,34,29,6,17,11,29,44,-15
1991-1992,13,34,29,7,15,12,30,34,-4
1992-1993,6,34,37,14,9,11,45,33,12
1993-1994,12,34,32,10,12,12,39,48,-9
1994-1995,9,34,49,13,10,11,40,39,1
1995-1996,11,34,41,11,8,15,34,47,-13
1996-1997,15,34,37,9,10,15,45,55,-10
1998-1999,12,34,41,11,8,15,49,50,-1
1999-2000,17,34,22,3,13,18,29,54,-25
2004-2005,13,38,44,10,14,14,51,60,-9
2005-2006,14,38,39,8,15,15,42,55,-13
2006-2007,17,38,40,9,13,16,35,46,-11
2007-2008,14,38,42,11,9,18,40,56,-16
2008-2009,9,38,53,15,8,15,49,50,-1
2009-2010,15,38,44,11,11,16,56,58,-2
2010-2011,14,38,45,12,9,17,44,51,-7
2011-2012,15,38,43,10,13,15,37,46,-9
2012-2013,11,38,47,12,11,15,43,55,-12
2013-2014,15,38,39,9,12,17,34,53,-19
2014-2015,18,38,34,8,10,20,48,68,-20
2016-2017,11,38,47,14,5,19,55,76,-21
2017-2018,16,38,39,11,6,21,33,61,-28
2018-2019,15,38,41,10,11,17,36,54,-18
2019-2020,14,38,45,11,12,15,52,56,-4
2020-2021,16,38,37,9,10,19,43,59,-16
2021-2022,18,38,30,6,12,20,34,68,-34
2023-2024,16,38,36,8,12,18,42,68,-26
2024-2025,-,6,5,1,2,3,4,10,-6
