0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1949-1950,7,38,41,15,11,12,59,59,0
1950-1951,8,38,40,18,4,16,56,66,-10
1951-1952,13,38,34,15,4,19,53,70,-17
1952-1953,17,34,27,11,5,18,32,44,-12
1975-1976,15,30,21,5,11,14,28,36,-8
1980-1981,13,30,25,8,9,13,25,33,-8
1981-1982,16,30,17,3,11,16,18,42,-24
1984-1985,11,30,25,6,13,11,17,27,-10
1985-1986,9,30,29,7,15,8,32,32,0
1986-1987,9,30,26,5,16,9,16,20,-4
1987-1988,11,30,25,6,13,11,22,37,-15
1988-1989,18,34,22,6,10,18,24,49,-25
2002-2003,17,34,24,4,12,18,29,57,-28
2024-2025,-,6,8,2,2,2,9,11,-2
