0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1986-1987,13,30,23,8,7,15,13,33,-20
1987-1988 (-5),16,30,20,6,13,11,20,30,-10
1997-1998,12,34,37,10,7,17,50,58,-8
1998-1999 (-2),18,34,20,4,10,20,26,63,-37
2002-2003,13,34,38,9,11,14,36,46,-10
2003-2004,17,34,30,7,9,18,26,54,-28
2005-2006,8,38,45,13,6,19,47,61,-14
2006-2007,7,38,54,14,12,12,42,43,-1
2007-2008,18,38,36,9,9,20,29,52,-23
2014-2015,15,38,42,8,18,12,46,52,-6
2015-2016,10,38,46,12,10,16,40,49,-9
2016-2017,18,38,32,8,8,22,29,61,-32
2018-2019,18,38,38,10,8,20,51,70,-19
2021-2022,14,38,41,10,11,17,50,70,-20
2022-2023,14,38,43,10,13,15,37,49,-12
2023-2024,17,38,36,9,9,20,29,54,-25
2024-2025,-,6,10,2,4,0,5,2,3
