0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1931-1932,4,34,39,16,7,11,54,35,19
1932-1933,6,34,39,16,7,11,48,38,10
1933-1934,6,34,36,12,12,10,46,53,-7
1934-1935,3,30,39,15,9,6,39,23,16
1935-1936,12,30,27,10,7,13,32,42,-10
1936-1937,9,30,30,9,12,9,34,32,2
1937-1938,16,30,15,3,9,18,28,60,-32
1939-1940,13,30,24,9,6,15,37,48,-11
1940-1941,4,30,34,14,6,10,60,49,11
1941-1942,9,30,27,11,5,14,51,50,1
1942-1943,7,30,29,12,5,13,55,61,-6
1946-1947,17,38,32,10,12,16,46,69,-23
1947-1948,7,40,41,18,5,17,49,55,-6
1948-1949,10,38,38,15,8,15,51,60,-9
1949-1950,5,38,44,18,8,12,76,57,19
1950-1951,5,38,44,18,8,12,52,42,10
1951-1952,4,38,43,17,9,12,52,38,14
1952-1953,7,34,33,11,11,12,31,47,-16
1953-1954,4,34,44,15,14,5,45,27,18
1954-1955,5,34,39,14,11,9,49,48,1
1955-1956,1,34,53,20,13,1,59,20,39
1956-1957,2,34,42,16,10,8,55,40,15
1957-1958,2,34,43,16,11,7,56,36,20
1958-1959,2,34,49,20,9,5,95,35,60
1959-1960,2,34,47,20,7,7,68,31,37
1960-1961,7,34,37,13,11,10,46,34,12
1961-1962,3,34,46,19,8,7,57,32,25
1962-1963,6,34,38,15,8,11,52,32,20
1963-1964,4,34,38,14,10,10,43,27,16
1964-1965,5,34,41,16,9,9,52,37,15
1965-1966,4,34,43,16,11,7,45,22,23
1966-1967,5,34,43,15,13,6,53,29,24
1967-1968,4,30,35,13,9,8,35,23,12
1968-1969,1,30,45,16,13,1,38,18,20
1969-1970,5,30,36,15,6,9,40,33,7
1970-1971,13,30,25,3,19,8,26,32,-6
1971-1972,6,30,36,12,12,6,28,20,8
1972-1973,4,30,37,16,5,9,39,26,13
1973-1974,6,30,33,10,13,7,32,26,6
1974-1975,8,30,31,9,13,8,31,27,4
1975-1976,9,30,27,9,9,12,39,39,0
1976-1977,3,30,35,12,11,7,38,31,7
1977-1978,13,30,25,7,11,12,28,37,-9
1978-1979,7,30,32,10,12,8,26,26,0
1979-1980,6,30,33,11,11,8,33,27,6
1980-1981,5,30,32,9,14,7,28,25,3
1981-1982,2,30,45,17,11,2,36,17,19
1982-1983,5,30,34,12,10,8,36,25,11
1983-1984,3,30,36,12,12,6,48,31,17
1984-1985,9,30,29,8,13,9,33,31,2
1985-1986,5,30,33,10,13,7,29,23,6
1986-1987,10,30,26,8,10,12,30,35,-5
1987-1988,8,30,28,9,10,11,29,33,-4
1988-1989,7,34,34,12,10,12,44,43,1
1989-1990,12,34,28,7,14,13,41,42,-1
1990-1991,12,34,31,8,15,11,40,34,6
1991-1992,12,34,32,10,12,12,44,41,3
1992-1993,16,34,30,8,14,12,53,56,-3
1994-1995,10,34,47,12,11,11,61,57,4
1995-1996,4,34,59,17,8,9,53,41,12
1996-1997,9,34,45,10,15,9,46,41,5
1997-1998,5,34,57,15,12,7,65,36,29
1998-1999,3,34,56,16,8,10,55,41,14
1999-2000,7,34,51,13,12,9,48,38,10
2000-2001,9,34,43,10,13,11,53,52,1
2001-2002,17,34,22,5,7,22,29,63,-34
2004-2005,16,38,42,9,15,14,42,50,-8
2005-2006 (-30),9,38,44,22,8,8,66,41,25
2006-2007 (-15),6,38,58,21,10,7,62,31,31
2007-2008,4,38,66,19,9,10,55,39,16
2008-2009,4,38,68,21,5,12,53,38,15
2009-2010,11,38,47,13,8,17,48,47,1
2010-2011,9,38,51,12,15,11,49,44,5
2011-2012,13,38,46,11,13,14,37,43,-6
2012-2013,4,38,70,21,7,10,72,44,28
2013-2014,4,38,65,19,8,11,65,44,21
2014-2015,4,38,64,18,10,10,61,46,15
2015-2016,5,38,64,18,10,10,60,42,18
2016-2017,8,38,60,16,12,10,63,57,6
2017-2018,8,38,57,16,9,13,54,46,8
2018-2019,16,38,41,8,17,13,47,45,2
2019-2020,10,38,49,12,13,13,51,48,3
2020-2021,13,38,40,9,13,16,47,59,-12
2021-2022,7,38,62,19,5,14,59,51,8
2022-2023,8,38,56,15,11,12,53,43,10
2023-2024,8,38,60,17,9,12,61,46,15
2024-2025,-,6,7,1,4,1,7,7,0
