0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,2,34,48,20,8,6,63,39,24
1930-1931,4,34,47,22,3,9,58,47,11
1931-1932,11,34,30,11,8,15,48,56,-8
1932-1933,8,34,34,13,8,13,58,60,-2
1933-1934,17,34,24,8,8,18,33,55,-22
1935-1936,11,30,28,7,14,9,38,44,-6
1936-1937,6,30,33,11,11,8,51,36,15
1937-1938,4,30,38,15,8,7,50,35,15
1938-1939,4,30,35,14,7,9,53,30,23
1939-1940,5,30,33,14,5,11,56,47,9
1940-1941,10,30,29,10,9,11,46,44,2
1941-1942,4,30,37,13,11,6,53,35,18
1942-1943,5,30,33,14,5,11,59,53,6
1946-1947,12,38,36,13,10,15,53,53,0
1947-1948,13,40,37,15,7,18,68,65,3
1948-1949,7,38,40,14,12,12,51,51,0
1949-1950,12,38,34,13,8,17,45,64,-19
1950-1951,20,38,27,9,9,20,46,72,-26
1953-1954,12,34,28,10,8,16,36,50,-14
1954-1955,11,34,31,9,13,12,34,44,-10
1955-1956,10,34,33,12,9,13,50,52,-2
1956-1957,16,34,30,9,12,13,36,46,-10
1957-1958,12,34,30,9,12,13,53,60,-7
1958-1959,11,34,30,10,10,14,44,62,-18
1959-1960 (-18),18,34,0,4,10,20,21,50,-29
1962-1963,15,34,28,9,10,15,32,48,-16
1963-1964,8,34,30,10,10,14,33,35,-2
1964-1965,16,34,28,8,12,14,30,46,-16
1973-1974,15,30,17,4,9,17,16,37,-21
1976-1977,11,30,27,8,11,11,40,45,-5
1977-1978,14,30,25,5,15,10,23,33,-10
1981-1982,13,30,25,6,13,11,24,29,-5
1982-1983,11,30,27,6,15,9,34,38,-4
1983-1984,14,30,25,6,13,11,24,36,-12
1989-1990,11,34,29,6,17,11,27,31,-4
1990-1991,4,34,40,14,12,8,51,36,15
1991-1992,14,34,29,9,11,14,35,47,-12
1992-1993,13,34,31,7,17,10,41,55,-14
1993-1994,11,34,32,8,16,10,32,40,-8
1994-1995,15,34,40,10,10,14,34,49,-15
2007-2008,10,38,48,13,9,16,44,52,-8
2008-2009,5,38,68,19,11,8,56,39,17
2009-2010,9,38,51,14,9,15,57,61,-4
2010-2011,10,38,51,14,9,15,45,47,-2
2011-2012,17,38,42,11,9,18,50,69,-19
2012-2013,17,38,38,8,14,16,38,52,-14
2013-2014,14,38,44,11,11,16,41,50,-9
2014-2015,6,38,59,16,11,11,62,47,15
2015-2016,11,38,46,13,7,18,45,48,-3
2016-2017,16,38,36,9,9,20,38,64,-26
2017-2018,12,38,41,11,8,19,33,43,-10
2018-2019,17,38,38,8,14,16,39,57,-18
2019-2020,17,38,39,10,9,19,47,73,-26
2020-2021,11,38,42,10,12,16,47,58,-11
2021-2022,19,38,28,4,16,18,27,60,-33
2023-2024,11,38,49,12,13,13,45,45,0
2024-2025,-,6,5,1,2,3,4,10,-6
