0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,1,34,50,22,6,6,85,38,47
1930-1931,5,34,38,15,8,11,60,45,15
1931-1932,6,34,38,15,8,11,67,52,15
1932-1933,2,34,46,19,8,7,80,53,27
1933-1934,2,34,49,20,9,5,66,24,42
1934-1935,2,30,42,15,12,3,58,24,34
1935-1936,4,30,36,14,8,8,61,34,27
1936-1937,7,30,31,9,13,8,43,35,8
1937-1938,1,30,41,16,9,5,57,28,29
1938-1939,3,30,37,14,9,7,55,37,18
1939-1940,1,30,44,20,4,6,56,23,33
1940-1941,2,30,35,14,7,9,52,42,10
1941-1942,12,30,26,7,12,11,31,47,-16
1942-1943,4,30,34,15,4,11,53,38,15
1946-1947,10,38,36,13,10,15,59,54,5
1947-1948,12,40,37,16,5,19,67,60,7
1948-1949,2,38,55,22,11,5,85,39,46
1949-1950,3,38,49,21,7,10,99,60,39
1950-1951,2,38,59,27,5,6,107,43,64
1951-1952,3,38,49,21,7,10,86,49,37
1952-1953,1,34,47,19,9,6,46,24,22
1953-1954,1,34,51,20,11,3,67,32,35
1954-1955,8,34,36,13,10,11,55,49,6
1955-1956,3,34,39,16,7,11,57,36,21
1956-1957,5,34,35,11,13,10,53,45,8
1957-1958,11,34,32,10,12,12,36,36,0
1958-1959,3,34,46,20,6,8,77,41,36
1959-1960,4,34,40,14,12,8,55,43,12
1960-1961,3,34,44,18,8,8,73,39,34
1961-1962,2,34,48,19,10,5,59,31,28
1962-1963,1,34,49,19,11,4,56,20,36
1963-1964,2,34,54,23,8,3,54,21,33
1964-1965,1,34,54,22,10,2,68,29,39
1965-1966,1,34,50,20,10,4,70,28,42
1966-1967,2,34,48,19,10,5,59,22,37
1967-1968,5,30,33,13,7,10,46,34,12
1968-1969,4,30,36,14,8,8,55,26,29
1969-1970,2,30,41,16,9,5,41,19,22
1970-1971,1,30,46,19,8,3,50,26,24
1971-1972,5,30,36,13,10,7,49,28,21
1972-1973,5,30,37,15,7,8,32,23,9
1973-1974,4,30,35,12,11,7,47,33,14
1974-1975,9,30,30,10,10,10,26,26,0
1975-1976,4,30,37,14,9,7,36,28,8
1976-1977,4,30,33,10,13,7,34,27,7
1977-1978,5,30,36,13,10,7,35,24,11
1978-1979,4,30,36,10,16,4,38,24,14
1979-1980,1,30,41,14,13,3,44,25,19
1980-1981,4,30,36,14,8,8,41,24,17
1981-1982,5,30,35,11,13,6,39,34,5
1982-1983,3,30,38,12,14,4,40,23,17
1983-1984,4,30,35,12,11,7,37,23,14
1984-1985,3,30,38,13,12,5,42,28,14
1985-1986,6,30,32,12,8,10,36,33,3
1986-1987,3,30,38,15,8,7,32,17,15
1987-1988,5,30,32,11,10,9,42,35,7
1988-1989,1,34,58,26,6,2,67,19,48
1989-1990,3,34,44,17,10,7,55,32,23
1990-1991,3,34,46,18,10,6,56,31,25
1991-1992,8,34,37,10,17,7,28,28,0
1992-1993,2,34,46,17,12,5,59,36,23
1993-1994,13,34,31,11,9,14,46,45,1
1994-1995,6,34,52,14,10,10,39,34,5
1995-1996,7,34,54,15,9,10,51,30,21
1996-1997,3,34,59,15,14,5,51,35,16
1997-1998,2,34,69,21,6,7,62,27,35
1998-1999,8,34,46,13,7,14,59,54,5
1999-2000,4,34,58,17,7,10,58,36,22
2000-2001,5,34,51,14,9,11,47,47,0
2001-2002,3,34,69,20,9,5,62,35,27
2002-2003,2,34,65,19,8,7,64,38,26
2003-2004,4,34,59,17,8,9,59,37,22
2004-2005,3,38,72,18,18,2,65,37,28
2005-2006,1,38,76,23,7,8,68,30,38
2006-2007,1,38,97,30,7,1,80,34,46
2007-2008,1,38,85,25,10,3,69,26,43
2008-2009,1,38,84,25,9,4,70,32,38
2009-2010,1,38,82,24,10,4,75,34,41
2010-2011,2,38,76,23,7,8,69,42,27
2011-2012,6,38,58,17,7,14,58,55,3
2012-2013,9,38,54,16,6,16,55,57,-2
2013-2014,5,38,60,15,15,8,62,39,23
2014-2015,8,38,55,14,13,11,59,48,11
2015-2016,4,38,67,20,7,11,50,38,12
2016-2017,7,38,62,19,5,14,72,49,23
2017-2018,4,38,72,20,12,6,66,30,36
2018-2019,4,38,69,20,9,9,57,33,24
2019-2020,2,38,82,24,10,4,81,36,45
2020-2021,1,38,91,28,7,3,89,35,54
2021-2022,2,38,84,25,9,4,84,32,52
2022-2023,3,38,72,23,3,12,71,42,29
2023-2024,1,38,94,29,7,2,89,22,67
2024-2025,-,6,11,3,2,1,13,7,6
