0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,3,34,45,19,7,8,56,31,25
1930-1931,1,34,55,25,5,4,79,37,42
1931-1932,1,34,54,24,6,4,89,38,51
1932-1933,1,34,54,25,4,5,83,23,60
1933-1934,1,34,53,23,7,4,88,31,57
1934-1935,1,30,44,18,8,4,45,22,23
1935-1936,5,30,35,13,9,8,46,33,13
1936-1937,5,30,35,12,11,7,53,31,22
1937-1938,2,30,39,14,11,5,43,22,21
1938-1939,8,30,29,8,13,9,28,34,-6
1939-1940,3,30,36,15,6,9,45,40,5
1940-1941,5,30,32,12,8,10,50,47,3
1941-1942,6,30,32,12,8,10,47,41,6
1942-1943,3,30,37,16,5,9,75,55,20
1946-1947,2,38,53,22,9,7,83,38,45
1947-1948,3,40,49,19,11,10,74,48,26
1948-1949,4,38,44,18,8,12,64,47,17
1949-1950,1,38,62,28,6,4,100,43,57
1950-1951,3,38,54,23,8,7,103,44,59
1951-1952,1,38,60,26,8,4,98,34,64
1952-1953,2,34,45,18,9,7,73,40,33
1953-1954,2,34,50,20,10,4,58,34,24
1954-1955,7,34,37,12,13,9,60,53,7
1955-1956,12,34,33,8,17,9,32,37,-5
1956-1957,9,34,33,11,11,12,54,54,0
1957-1958,1,34,51,23,5,6,77,44,33
1958-1959,4,34,42,16,10,8,74,51,23
1959-1960,1,34,55,25,5,4,92,33,59
1960-1961,1,34,49,22,5,7,80,42,38
1961-1962,12,34,29,10,9,15,48,56,-8
1962-1963,2,34,45,18,9,7,50,25,25
1963-1964,5,34,38,14,10,10,49,37,12
1964-1965,4,34,41,15,11,8,43,24,19
1965-1966,5,34,42,13,16,5,38,23,15
1966-1967,1,34,49,18,13,3,44,19,25
1967-1968,3,30,36,13,10,7,33,29,4
1968-1969,5,30,35,12,11,7,32,24,8
1969-1970,3,30,38,15,8,7,43,20,23
1970-1971,4,30,35,11,13,6,41,30,11
1971-1972,1,30,43,17,9,4,48,24,24
1972-1973,1,30,45,18,9,3,45,22,23
1973-1974,2,30,41,16,9,5,50,26,24
1974-1975,1,30,43,18,7,5,49,19,30
1975-1976,2,30,43,18,7,5,46,26,20
1976-1977,1,30,51,23,5,2,50,20,30
1977-1978,1,30,44,15,14,1,46,17,29
1978-1979,3,30,37,12,13,5,40,23,17
1979-1980,2,30,38,16,6,8,42,25,17
1980-1981,1,30,44,17,10,3,46,15,31
1981-1982,1,30,46,19,8,3,48,14,34
1982-1983,2,30,39,15,9,6,49,26,23
1983-1984,1,30,43,17,9,4,57,29,28
1984-1985,6,30,36,11,14,5,48,33,15
1985-1986,1,30,45,18,9,3,43,17,26
1986-1987,2,30,39,14,11,5,42,27,15
1987-1988,6,30,31,11,9,10,35,30,5
1988-1989,4,34,43,15,13,6,51,36,15
1989-1990,4,34,44,15,14,5,56,36,20
1990-1991,7,34,37,13,11,10,45,32,13
1991-1992,2,34,48,18,12,4,45,22,23
1992-1993,4,34,39,15,9,10,59,47,12
1993-1994,2,34,47,17,13,4,58,25,33
1994-1995,1,34,73,23,4,7,59,32,27
1995-1996,2,34,65,19,8,7,58,35,23
1996-1997,1,34,65,17,14,3,51,24,27
1997-1998,1,34,74,21,11,2,67,28,39
1998-1999,7,34,54,15,9,10,42,36,6
1999-2000,2,34,71,21,8,5,46,20,26
2000-2001,2,34,73,21,10,3,61,27,34
2001-2002,1,34,71,20,11,3,64,23,41
2002-2003,1,34,72,21,9,4,64,29,35
2003-2004,3,34,69,21,6,7,67,42,25
2004-2005,1,38,86,26,8,4,67,27,40
2005-2006,20,38,91,27,10,1,71,24,47
2007-2008,3,38,72,20,12,6,72,37,35
2008-2009,2,38,74,21,11,6,69,37,32
2009-2010,7,38,55,16,7,15,55,56,-1
2010-2011,7,38,58,15,13,10,57,47,10
2011-2012,1,38,84,23,15,0,68,20,48
2012-2013,1,38,87,27,6,5,71,24,47
2013-2014,1,38,102,33,3,2,80,23,57
2014-2015,1,38,87,26,9,3,72,24,48
2015-2016,1,38,91,29,4,5,75,20,55
2016-2017,1,38,91,29,4,5,77,27,50
2017-2018,1,38,95,30,5,3,86,24,62
2018-2019,1,38,90,28,6,4,70,30,40
2019-2020,1,38,83,26,5,7,76,43,33
2020-2021,4,38,78,23,9,6,77,38,39
2021-2022,4,38,70,20,10,8,57,37,20
2022-2023 (-10),7,38,62,22,6,10,56,33,23
2023-2024,3,38,71,19,14,5,54,31,23
2024-2025,-,6,12,3,3,0,9,0,9
