0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,15,34,28,10,8,16,49,50,-1
1930-1931,8,34,35,15,5,14,44,44,0
1931-1932,13,34,27,10,7,17,45,53,-8
1932-1933,10,34,33,12,9,13,42,44,-2
1933-1934,10,34,31,11,9,14,48,66,-18
1934-1935,5,30,32,13,6,11,55,46,9
1935-1936,7,30,30,11,8,11,48,42,6
1936-1937,2,30,39,17,5,8,56,42,14
1937-1938,8,30,32,11,10,9,48,30,18
1938-1939,10,30,28,11,6,13,33,40,-7
1939-1940,4,30,35,12,11,7,44,36,8
1940-1941,14,30,27,7,13,10,38,42,-4
1941-1942,5,30,37,14,9,7,55,37,18
1942-1943,9,30,28,10,8,12,56,59,-3
1946-1947,13,38,36,12,12,14,56,56,0
1947-1948,10,40,39,13,13,14,54,55,-1
1948-1949,13,38,34,11,12,15,60,62,-2
1949-1950,4,38,46,18,10,10,67,43,24
1950-1951,4,38,46,18,10,10,64,50,14
1951-1952,5,38,43,15,13,10,60,49,11
1952-1953,11,34,31,12,7,15,38,44,-6
1953-1954,11,34,29,10,9,15,40,42,-2
1954-1955,13,34,30,11,8,15,41,52,-11
1955-1956,4,34,39,14,11,9,54,46,8
1956-1957,3,34,41,14,13,7,52,40,12
1957-1958,15,34,30,10,10,14,45,65,-20
1958-1959,12,34,30,10,10,14,36,54,-18
1959-1960,12,34,30,9,12,13,32,45,-13
1960-1961,18,34,18,5,8,21,30,63,-33
1963-1964,9,34,30,9,12,13,21,24,-3
1964-1965,14,34,29,8,13,13,25,38,-13
1965-1966,13,34,29,8,13,13,28,41,-13
1966-1967,15,34,27,6,15,13,20,35,-15
1969-1970,8,30,29,11,7,12,33,32,1
1970-1971,15,30,22,5,12,13,28,43,-15
1972-1973,3,30,43,16,11,3,33,16,17
1973-1974,1,30,43,18,7,5,45,23,22
1974-1975,4,30,37,14,9,7,34,28,6
1975-1976,13,30,23,6,11,13,35,40,-5
1976-1977,5,30,31,10,11,9,34,28,6
1977-1978,11,30,26,8,10,12,31,38,-7
1978-1979,8,30,29,9,11,10,35,40,-5
1979-1980,13,30,25,5,15,10,21,25,-4
1983-1984,13,30,25,8,9,13,35,49,-14
1984-1985,15,30,15,2,11,17,16,45,-29
1988-1989,10,34,29,5,19,10,23,32,-9
1989-1990,9,34,31,8,15,11,34,33,1
1990-1991,11,34,35,8,19,7,33,36,-3
1991-1992,10,34,34,11,12,11,43,40,3
1992-1993,5,34,38,13,12,9,65,51,14
1993-1994,4,34,44,17,10,7,55,40,15
1994-1995,2,34,63,19,6,9,69,34,35
1995-1996,3,34,59,17,8,9,66,38,28
1996-1997,4,34,55,15,10,9,54,37,17
1997-1998,7,34,56,16,8,10,53,30,23
1998-1999,2,34,69,20,9,5,65,31,34
1999-2000,1,34,72,21,9,4,64,33,31
2000-2001,3,34,69,21,6,7,65,36,29
2001-2002,6,34,53,14,11,9,50,37,13
2002-2003,4,34,60,15,15,4,57,32,25
2003-2004,6,34,56,16,8,10,52,38,14
2004-2005,10,38,44,11,11,16,48,53,-5
2005-2006 (-30),16,38,32,16,14,8,57,47,10
2006-2007 (-3),3,38,62,18,11,9,59,33,26
2007-2008,12,38,46,11,13,14,47,51,-4
2008-2009,10,38,50,15,5,18,46,55,-9
2009-2010,12,38,46,11,13,14,39,43,-4
2010-2011,5,38,66,20,6,12,55,39,16
2011-2012,4,38,62,18,8,12,56,47,9
2012-2013,7,38,61,18,7,13,51,42,9
2013-2014,9,38,56,15,11,12,54,54,0
2014-2015,3,38,69,21,6,11,71,38,33
2015-2016,8,38,54,15,9,14,52,52,0
2016-2017,5,38,70,21,7,10,74,51,23
2017-2018,5,38,72,21,9,8,89,49,40
2018-2019,8,38,59,17,8,13,56,46,10
2019-2020,4,38,78,24,6,8,79,42,37
2020-2021,6,38,68,21,5,12,61,55,6
2021-2022,5,38,64,18,10,10,77,58,19
2022-2023,2,38,74,22,8,8,60,30,30
2023-2024,7,38,61,18,7,13,49,39,10
2024-2025,-,6,10,3,1,2,12,10,2
