0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1985-1986,16,30,16,5,6,19,23,55,-32
1988-1989,9,34,31,8,15,11,25,35,-10
1989-1990,14,34,28,10,8,16,29,46,-17
1990-1991,15,34,25,6,13,15,20,47,-27
1993-1994,18,34,11,3,5,26,28,72,-44
1997-1998,17,34,26,6,8,20,32,72,-40
1999-2000,13,34,40,10,10,14,33,49,-16
2000-2001,13,34,37,8,13,13,40,54,-14
2001-2002,16,34,28,6,10,18,36,56,-20
2003-2004,10,34,41,11,8,15,43,56,-13
2004-2005,12,38,44,10,14,14,66,73,-7
2005-2006,18,38,29,7,8,23,30,57,-27
2008-2009,20,38,30,5,15,18,37,67,-30
2010-2011,17,38,41,11,8,19,46,66,-20
2011-2012,18,38,36,8,12,18,40,56,-16
2019-2020,18,38,35,9,8,21,52,85,-33
2022-2023,16,38,36,8,12,18,33,46,-13
2023-2024,14,38,38,8,14,16,32,54,-22
2024-2025,-,6,5,1,2,3,3,11,-8
