0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,11,34,32,11,10,13,52,48,4
1930-1931,12,34,31,12,7,15,48,53,-5
1931-1932,5,34,39,15,9,10,57,40,17
1932-1933,11,34,32,11,10,13,57,62,-5
1933-1934,9,34,33,12,9,13,50,49,1
1934-1935,10,30,27,8,11,11,36,38,-2
1935-1936,8,30,28,10,8,12,40,41,-1
1936-1937,4,30,36,13,10,7,39,29,10
1937-1938,3,30,38,13,12,5,43,27,16
1938-1939,9,30,28,10,8,12,36,34,2
1939-1940,8,30,28,10,8,12,46,38,8
1940-1941,3,30,34,12,10,8,55,34,21
1941-1942,10,30,27,10,7,13,53,53,0
1942-1943,8,30,29,10,9,11,39,44,-5
1946-1947,4,38,50,19,12,7,75,52,23
1947-1948,2,40,49,21,7,12,76,48,28
1948-1949,3,38,50,21,8,9,83,52,31
1949-1950,2,38,57,27,3,8,118,45,73
1950-1951,1,38,60,26,8,4,107,39,68
1951-1952,2,38,53,20,13,5,87,41,46
1952-1953,3,34,43,17,9,8,64,34,30
1953-1954,3,34,44,17,10,7,66,39,27
1954-1955,1,34,48,19,10,5,81,35,46
1955-1956,2,34,41,16,9,9,70,48,22
1956-1957,1,34,48,21,6,7,65,40,25
1957-1958,9,34,32,9,14,11,61,47,14
1958-1959,1,34,52,20,12,2,84,32,52
1959-1960,3,34,44,17,10,7,56,37,19
1960-1961,2,34,45,18,9,7,65,39,26
1961-1962,1,34,53,24,5,5,83,36,47
1962-1963,3,34,43,15,13,6,53,27,26
1963-1964,3,34,51,21,9,4,58,28,30
1964-1965,2,34,51,21,9,4,52,23,29
1965-1966,7,34,38,13,12,9,43,33,10
1966-1967,8,34,37,11,15,8,36,32,4
1967-1968,1,30,46,18,10,2,53,24,29
1968-1969,3,30,41,14,13,3,31,12,19
1969-1970,4,30,36,13,10,7,38,24,14
1970-1971,2,30,42,15,12,3,54,26,28
1971-1972,2,30,42,16,10,4,36,17,19
1972-1973,2,30,44,18,8,4,65,33,32
1973-1974,7,30,30,11,8,11,34,36,-2
1974-1975,5,30,36,12,12,6,37,22,15
1975-1976,3,30,38,15,8,7,42,28,14
1976-1977,10,30,27,5,17,8,30,33,-3
1977-1978,4,30,37,12,13,5,38,25,13
1978-1979,1,30,44,17,10,3,46,19,27
1979-1980,3,30,36,14,8,8,34,19,15
1981-1982,14,30,24,7,10,13,21,31,-10
1983-1984,6,30,32,10,12,8,37,40,-3
1984-1985,5,30,36,12,12,6,31,25,6
1985-1986,7,30,31,10,11,9,26,24,2
1986-1987,5,30,35,13,9,8,31,21,10
1987-1988,1,30,45,17,11,2,43,14,29
1988-1989,3,34,46,16,14,4,61,25,36
1989-1990,2,34,49,22,5,7,56,27,29
1990-1991,2,34,46,18,10,6,46,19,27
1991-1992,1,34,56,22,12,0,74,21,53
1992-1993,1,34,50,18,14,2,65,32,33
1993-1994,1,34,50,19,12,3,36,15,21
1994-1995,4,34,60,17,9,8,53,32,21
1995-1996,1,34,73,21,10,3,60,24,36
1996-1997,11,34,43,11,10,13,43,45,-2
1997-1998,10,34,44,11,11,12,37,43,-6
1998-1999,1,34,70,20,10,4,59,34,25
1999-2000,3,34,61,16,13,5,65,40,25
2000-2001,6,34,49,12,13,9,56,46,10
2001-2002,4,34,55,14,13,7,47,33,14
2002-2003,3,34,61,18,7,9,55,30,25
2003-2004,1,34,82,25,7,2,65,24,41
2004-2005,2,38,79,23,10,5,63,28,35
2005-2006 (-30),3,38,58,28,4,6,85,31,54
2006-2007 (-8),4,38,61,19,12,7,57,36,21
2007-2008,5,38,64,18,10,10,66,38,28
2008-2009,3,38,74,22,8,8,70,35,35
2009-2010,3,38,70,20,10,8,60,39,21
2010-2011,1,38,82,24,10,4,65,24,41
2011-2012,2,38,80,24,8,6,74,33,41
2012-2013,3,38,72,21,9,8,67,39,28
2013-2014,8,38,57,16,9,13,57,49,8
2014-2015,10,38,52,13,13,12,56,50,6
2015-2016,7,38,57,15,12,11,49,43,6
2016-2017,6,38,63,18,9,11,57,45,12
2017-2018,6,38,64,18,10,10,56,42,14
2018-2019,5,38,68,19,11,8,55,36,19
2019-2020,6,38,66,19,9,10,63,46,17
2020-2021,2,38,79,24,7,7,74,41,33
2021-2022,1,38,86,26,8,4,69,31,38
2022-2023,4,38,70,20,10,8,64,43,21
2023-2024,2,38,75,22,9,7,76,49,27
2024-2025,-,6,11,3,2,1,14,7,7
