0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,5,34,37,14,9,11,61,51,10
1930-1931,6,34,37,18,1,15,54,49,5
1931-1932,9,34,35,13,9,12,48,46,2
1932-1933,4,34,42,18,6,10,64,38,26
1933-1934,3,34,46,19,8,7,46,30,16
1934-1935,7,30,29,10,9,11,39,38,1
1935-1936,9,30,28,11,6,13,42,45,-3
1936-1937,13,30,24,8,8,14,31,39,-8
1937-1938,10,30,28,8,12,10,37,39,-2
1938-1939,7,30,31,10,11,9,30,35,-5
1939-1940,14,30,24,9,6,15,26,41,-15
1940-1941,8,30,30,11,8,11,41,48,-7
1941-1942,15,30,23,8,7,15,32,51,-19
1946-1947,8,38,37,14,9,15,50,59,-9
1947-1948,21,40,34,12,10,18,50,46,4
1950-1951,6,38,41,15,11,12,57,52,5
1951-1952,6,38,42,17,8,13,64,44,20
1952-1953,4,34,41,15,11,8,53,43,10
1953-1954,5,34,38,13,12,9,52,38,14
1954-1955,6,34,38,13,12,9,50,40,10
1955-1956,14,34,32,10,12,12,46,49,-3
1956-1957,12,34,32,11,10,13,39,41,-2
1957-1958,4,34,40,17,6,11,65,55,10
1958-1959,7,34,34,9,16,9,39,50,-11
1959-1960,14,34,29,8,13,13,33,48,-15
1960-1961,17,34,25,7,11,16,30,47,-17
1962-1963,16,34,27,9,9,16,35,58,-23
1965-1966,3,34,45,17,11,6,44,27,17
1966-1967,4,34,44,17,10,7,46,23,23
1967-1968,2,30,37,13,11,6,34,24,10
1968-1969,7,30,32,10,12,8,26,25,1
1969-1970,6,30,31,10,11,9,24,21,3
1970-1971,3,30,39,15,9,6,33,19,14
1971-1972,8,30,28,6,16,8,27,31,-4
1972-1973,9,30,28,7,14,9,18,20,-2
1973-1974,3,30,36,12,12,6,35,28,7
1974-1975,2,30,41,14,13,3,50,22,28
1975-1976,5,30,36,13,10,7,40,27,13
1976-1977 (-1),7,30,28,9,11,10,37,38,-1
1977-1978,6,30,30,8,14,8,35,31,4
1978-1979,6,30,32,9,14,7,23,21,2
1979-1980,11,30,28,7,14,9,20,20,0
1980-1981,3,30,38,14,10,6,31,21,10
1981-1982,4,30,35,10,15,5,31,21,10
1982-1983,10,30,28,7,14,9,22,29,-7
1983-1984,11,30,26,7,12,11,28,38,-10
1984-1985,8,30,33,10,13,7,34,29,5
1985-1986,3,30,39,14,11,5,35,21,14
1986-1987,1,30,42,15,12,3,41,21,20
1987-1988,2,30,42,18,6,6,55,27,28
1988-1989,2,34,47,18,11,5,57,28,29
1989-1990,1,34,51,21,9,4,57,31,26
1990-1991,8,34,37,11,15,8,37,37,0
1991-1992,4,34,42,15,12,7,56,40,16
1992-1993,11,34,32,10,12,12,49,50,-1
1993-1994,6,34,36,12,12,10,41,35,6
1994-1995,7,34,51,13,12,9,40,45,-5
1995-1996,12,34,41,10,11,13,28,41,-13
1996-1997,13,34,41,9,14,11,38,45,-7
1997-1998,18,34,14,2,8,24,25,76,-51
2000-2001,17,34,36,8,12,14,35,51,-16
2007-2008,8,38,50,14,8,16,50,53,-3
2008-2009,12,38,46,12,10,16,43,45,-2
2009-2010,6,38,59,15,14,9,50,43,7
2010-2011,3,38,70,21,7,10,59,39,20
2011-2012,5,38,61,16,13,9,66,46,20
2012-2013,2,38,78,23,9,6,73,36,37
2013-2014,3,38,78,23,9,6,77,39,38
2014-2015,5,38,63,18,9,11,70,54,16
2015-2016,2,38,82,25,7,6,80,32,48
2016-2017,3,38,86,26,8,4,94,39,55
2017-2018,2,38,91,28,7,3,77,29,48
2018-2019,2,38,79,24,7,7,74,36,38
2019-2020,7,38,62,18,8,12,61,50,11
2020-2021,5,38,77,24,5,9,86,41,45
2021-2022,3,38,79,24,7,7,74,31,43
2022-2023,1,38,90,28,6,4,77,28,49
2023-2024,10,38,53,13,14,11,55,48,7
2024-2025,-,6,13,4,1,1,11,4,7
