0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1990-1991,6,34,38,13,12,9,35,31,4
1991-1992,7,34,38,11,16,7,32,28,4
1992-1993,3,34,41,16,9,9,47,34,13
1993-1994,5,34,41,17,7,10,50,35,15
1994-1995,3,34,63,18,9,7,51,31,20
1995-1996,6,34,58,16,10,8,44,31,13
1996-1997,2,34,63,18,9,7,41,26,15
1997-1998,6,34,57,15,12,7,55,39,16
1998-1999,4,34,55,15,10,9,55,36,19
1999-2000,5,34,58,16,10,8,52,37,15
2000-2001,4,34,56,16,8,10,51,31,20
2001-2002,10,34,44,12,8,14,43,47,-4
2002-2003,5,34,56,15,11,8,55,36,19
2003-2004,5,34,58,16,10,8,57,46,11
2004-2005,17,38,42,10,12,16,48,65,-17
2005-2006,7,38,45,12,9,17,46,60,-14
2006-2007,12,38,42,10,12,16,41,56,-15
2007-2008,19,38,34,7,13,18,42,62,-20
2009-2010,8,38,52,14,10,14,46,51,-5
2010-2011,12,38,46,11,13,14,39,47,-8
2011-2012,8,38,56,15,11,12,54,53,1
2012-2013,10,38,49,13,10,15,45,46,-1
2013-2014,6,38,58,15,13,10,58,46,12
2014-2015 (-7),20,38,19,6,8,24,33,75,-42
2018-2019,14,38,41,10,11,17,41,61,-20
2019-2020,11,38,49,14,7,17,56,57,-1
2020-2021,20,38,20,3,11,24,39,83,-44
2024-2025,-,6,5,1,2,3,10,12,-2
