0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,6,34,36,15,6,13,73,52,21
1930-1931,2,34,51,22,7,5,87,31,56
1931-1932,3,34,40,16,8,10,53,42,11
1932-1933,5,34,39,14,11,9,58,35,23
1933-1934,5,34,40,16,8,10,56,32,24
1934-1935,4,30,35,14,7,9,63,38,25
1935-1936,2,30,39,16,7,7,32,20,12
1936-1937,10,30,27,10,7,13,36,45,-9
1937-1938,7,30,36,14,8,8,44,31,13
1938-1939,5,30,31,14,3,13,39,35,4
1939-1940,7,30,29,11,7,12,28,31,-3
1940-1941,11,30,29,9,11,10,48,46,2
1941-1942,1,30,42,16,10,4,55,21,34
1942-1943,11,30,28,12,4,14,36,50,-14
1946-1947,16,38,33,12,9,17,41,56,-15
1947-1948,17,40,35,13,9,18,54,69,-15
1948-1949,14,38,32,12,8,18,47,57,-10
1949-1950,18,38,31,12,7,19,52,70,-18
1950-1951,19,38,28,10,8,20,48,54,-6
1952-1953,6,34,36,13,10,11,50,44,6
1953-1954,6,34,36,12,12,10,53,42,11
1954-1955,3,34,41,13,15,6,53,39,14
1955-1956,6,34,35,11,13,10,43,40,3
1956-1957,14,34,31,10,11,13,53,49,4
1957-1958,5,34,36,12,12,10,46,42,4
1958-1959,6,34,35,12,11,11,57,41,16
1959-1960,9,34,34,13,8,13,53,53,0
1960-1961,5,34,39,16,7,11,58,46,12
1961-1962,5,34,44,18,8,8,61,35,26
1962-1963,5,34,40,13,14,7,57,32,25
1963-1964,12,34,29,9,11,14,43,44,-1
1964-1965,10,34,31,8,15,11,29,35,-6
1965-1966,8,34,36,13,10,11,28,31,-3
1966-1967,10,34,33,11,11,12,35,39,-4
1967-1968,11,30,27,7,13,10,25,35,-10
1968-1969,8,30,30,10,10,10,35,35,0
1969-1970,11,30,28,8,12,10,27,36,-9
1970-1971,6,30,32,7,18,5,32,25,7
1971-1972,7,30,35,13,9,8,37,31,6
1972-1973,11,30,24,6,12,12,23,28,-5
1973-1974,8,30,29,10,9,11,29,28,1
1974-1975,3,30,39,15,9,6,27,15,12
1975-1976,10,30,25,6,13,11,25,31,-6
1976-1977,8,30,28,9,10,11,27,33,-6
1977-1978,8,30,28,8,12,10,31,34,-3
1978-1979,12,30,26,8,10,12,24,32,-8
1979-1980,7,30,32,10,12,8,34,35,-1
1980-1981,2,30,42,14,14,2,43,20,23
1981-1982,3,30,38,15,8,7,40,29,11
1982-1983,1,30,43,16,11,3,47,24,23
1983-1984,2,30,41,15,11,4,48,28,20
1984-1985,7,30,34,10,14,6,33,25,8
1985-1986,2,30,41,19,3,8,51,27,24
1986-1987,7,30,33,12,9,9,37,31,6
1987-1988,3,30,38,15,8,7,39,26,13
1988-1989,8,34,34,11,12,11,33,40,-7
1989-1990,6,34,41,14,13,7,45,40,5
1990-1991,9,34,36,11,14,9,43,37,6
1991-1992,5,34,40,13,14,7,37,31,6
1992-1993,10,34,33,8,17,9,42,39,3
1993-1994,7,34,35,10,15,9,35,30,5
1994-1995,5,34,59,16,11,7,46,25,21
1995-1996,5,34,58,16,10,8,51,34,17
1996-1997,12,34,41,10,11,13,46,47,-1
1997-1998,4,34,59,16,11,7,67,42,25
1998-1999,5,34,54,15,9,10,69,49,20
1999-2000,6,34,54,14,12,8,57,34,23
2000-2001,1,34,75,22,9,3,68,33,35
2001-2002,2,34,70,19,13,2,58,24,34
2002-2003,8,34,49,13,10,11,55,46,9
2003-2004,2,34,71,21,8,5,68,19,49
2004-2005,8,38,45,11,12,15,55,58,-3
2005-2006,2,38,69,19,12,7,70,42,28
2006-2007,2,38,75,22,9,7,74,34,40
2007-2008,2,38,82,24,10,4,72,37,35
2008-2009,6,38,63,18,9,11,64,61,3
2009-2010,2,38,80,24,8,6,68,41,27
2010-2011,6,38,63,18,9,11,59,52,7
2011-2012,7,38,56,16,8,14,60,54,6
2012-2013,6,38,62,18,8,12,71,56,15
2013-2014,2,38,85,26,7,5,72,25,47
2014-2015,2,38,70,19,13,6,54,31,23
2015-2016,3,38,80,23,11,4,83,41,42
2016-2017,2,38,87,28,3,7,90,38,52
2017-2018,3,38,77,23,8,7,61,28,33
2018-2019,6,38,66,18,12,8,66,48,18
2019-2020,5,38,70,21,7,10,77,51,26
2020-2021,7,38,62,18,8,12,68,58,10
2021-2022,6,38,63,18,9,11,59,43,16
2022-2023,6,38,63,18,9,11,50,38,12
2023-2024,6,38,63,18,9,11,65,46,19
2024-2025,-,6,9,2,3,1,7,4,3
