0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1929-1930,4,34,39,16,7,11,52,31,21
1930-1931,7,34,36,14,8,12,52,43,9
1931-1932,8,34,37,14,9,11,64,53,11
1932-1933,7,34,36,14,8,12,65,54,11
1933-1934,13,34,29,9,11,14,47,57,-10
1934-1935,14,30,25,8,9,13,37,45,-8
1935-1936,3,30,38,16,6,8,49,33,16
1936-1937,3,30,38,13,12,5,50,25,25
1937-1938,9,30,32,12,8,10,39,37,2
1938-1939,2,30,38,14,10,6,45,34,11
1939-1940,6,30,33,13,7,10,47,41,6
1940-1941,7,30,30,11,8,11,54,50,4
1941-1942,2,30,39,16,7,7,60,39,21
1942-1943,1,30,44,20,4,6,68,31,37
1946-1947,1,38,63,28,7,3,104,35,69
1947-1948,1,40,65,29,7,4,125,33,92
1948-1949,1,38,60,25,10,3,78,34,44
1949-1950,6,38,41,17,7,14,80,76,4
1950-1951,17,38,30,9,12,17,46,69,-23
1951-1952,15,38,34,12,10,16,39,58,-19
1952-1953,10,34,31,11,9,14,47,49,-2
1953-1954,9,34,33,9,15,10,37,46,-9
1954-1955,10,34,34,12,10,12,42,45,-3
1955-1956,11,34,33,12,9,13,43,45,-2
1956-1957,7,34,35,13,9,12,45,42,3
1957-1958,8,34,33,11,11,12,42,49,-7
1958-1959,17,34,23,6,11,17,36,72,-36
1960-1961,12,34,30,9,12,13,34,41,-7
1961-1962,7,34,36,12,12,10,42,40,2
1962-1963,10,34,34,12,10,12,34,38,-4
1963-1964,7,34,35,9,17,8,32,32,0
1964-1965,3,34,44,16,12,6,48,27,21
1965-1966,10,34,31,9,13,12,31,34,-3
1966-1967,7,34,38,10,18,6,33,26,7
1967-1968,7,30,32,12,8,10,44,31,13
1968-1969,6,30,33,11,11,8,33,24,9
1969-1970,7,30,30,11,8,11,20,31,-11
1970-1971,8,30,26,6,14,10,27,30,-3
1971-1972,3,30,42,17,8,5,39,25,14
1972-1973,6,30,31,11,9,10,33,21,12
1973-1974,5,30,34,10,14,6,27,24,3
1974-1975,6,30,35,11,13,6,40,30,10
1975-1976,1,30,45,18,9,3,49,22,27
1976-1977,2,30,50,21,8,1,51,14,37
1977-1978,3,30,39,14,11,5,36,23,13
1978-1979,5,30,36,11,14,5,35,23,12
1979-1980,4,30,35,11,13,6,26,15,11
1980-1981,9,30,26,8,10,12,26,29,-3
1981-1982,10,30,27,8,11,11,25,30,-5
1982-1983,8,30,30,9,12,9,30,28,2
1983-1984,5,30,33,11,11,8,37,30,7
1984-1985,2,30,39,14,11,5,36,22,14
1985-1986,4,30,33,11,11,8,31,26,5
1986-1987,11,30,26,8,10,12,26,32,-6
1987-1988,7,30,31,8,15,7,33,30,3
1988-1989,15,34,27,8,11,15,37,49,-12
1990-1991,5,34,38,12,14,8,40,29,11
1991-1992,3,34,43,14,15,5,42,20,22
1992-1993,9,34,35,9,17,8,38,38,0
1993-1994,8,34,34,11,12,11,39,37,2
1994-1995,11,34,45,12,9,13,44,48,-4
1995-1996,16,34,29,6,11,17,28,46,-18
1999-2000,15,34,36,8,12,14,35,47,-12
2001-2002,11,34,43,10,13,11,37,39,-2
2002-2003,18,34,21,4,9,21,23,58,-35
2006-2007,16,38,40,10,10,18,27,47,-20
2007-2008,15,38,40,8,16,14,36,49,-13
2008-2009,18,38,34,8,10,20,37,61,-24
2012-2013 (-1),16,38,39,8,16,14,46,55,-9
2013-2014,7,38,57,15,12,11,58,48,10
2014-2015,9,38,54,14,12,12,48,45,3
2015-2016,12,38,45,12,9,17,52,55,-3
2016-2017,9,38,53,13,14,11,71,66,5
2017-2018,9,38,54,13,15,10,54,46,8
2018-2019,7,38,63,16,15,7,52,37,15
2019-2020,16,38,40,11,7,20,46,68,-22
2020-2021,17,38,37,7,16,15,50,69,-19
2021-2022,10,38,50,13,11,14,46,41,5
2022-2023,10,38,53,14,11,13,42,41,1
2023-2024,9,38,53,13,14,11,36,36,0
2024-2025,-,6,11,3,2,1,10,8,2
