0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1950-1951,9,38,35,11,13,14,46,61,-15
1951-1952,14,38,34,11,12,15,43,62,-19
1952-1953,14,34,31,10,11,13,42,55,-13
1953-1954,16,34,26,8,10,16,39,57,-18
1954-1955,2,34,44,16,12,6,58,42,16
1956-1957,4,34,36,15,6,13,59,58,1
1957-1958,10,34,32,10,12,12,51,46,5
1958-1959,15,34,27,8,11,15,32,59,-27
1959-1960,15,34,28,6,16,12,39,54,-15
1960-1961,15,34,29,9,11,14,39,53,-14
1961-1962,18,34,17,6,5,23,37,63,-26
1979-1980,15,30,21,3,15,12,24,38,-14
1980-1981,12,30,25,6,13,11,24,39,-15
1981-1982,11,30,26,9,8,13,27,37,-10
1982-1983,6,30,32,6,20,4,25,29,-4
1983-1984,9,30,31,11,9,10,47,40,7
1984-1985,12,30,25,10,5,15,43,46,-3
1985-1986,13,30,25,6,13,11,31,37,-6
1986-1987 (-9),16,30,15,6,12,12,25,41,-16
1989-1990,15,34,27,6,15,13,37,51,-14
1992-1993,14,34,30,10,10,14,42,48,-6
1993-1994,16,34,28,7,14,13,35,48,-13
1995-1996,10,34,41,11,8,15,41,49,-8
1996-1997,5,34,54,15,9,10,53,41,12
1997-1998,3,34,64,19,7,8,62,40,22
1998-1999,6,34,54,16,6,12,52,52,0
1999-2000,8,34,50,13,11,10,55,45,10
2000-2001,12,34,38,11,5,18,49,59,-10
2001-2002,14,34,40,11,7,16,41,52,-11
2002-2003,6,34,56,16,8,10,38,35,3
2003-2004,7,34,50,13,11,10,44,40,4
2004-2005,4,38,62,17,11,10,56,40,16
2005-2006,11,38,43,11,10,17,40,54,-14
2006-2007,10,38,46,12,10,16,49,55,-6
2007-2008,7,38,57,16,9,13,48,53,-5
2008-2009,7,38,58,16,10,12,61,50,11
2009-2010,16,38,44,11,11,16,54,59,-5
2010-2011,4,38,66,20,6,12,65,43,22
2011-2012,3,38,64,18,10,10,52,35,17
2012-2013,5,38,66,18,12,8,59,45,14
2013-2014,13,38,44,12,8,18,46,57,-11
2014-2015,16,38,41,10,11,17,43,56,-13
2015-2016,17,38,39,10,9,19,35,60,-25
2016-2017,13,38,45,12,9,17,47,56,-9
2017-2018,14,38,40,12,4,22,48,63,-15
2018-2019,12,38,43,11,10,17,39,53,-14
2019-2020,13,38,45,12,9,17,37,51,-14
2020-2021,14,38,40,10,10,18,42,58,-16
2021-2022,12,38,47,11,14,13,61,58,3
2022-2023,12,38,46,11,13,14,47,48,-1
2023-2024,15,38,37,6,19,13,37,53,-16
2024-2025,-,6,10,3,1,2,9,10,-1
