0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1939-1940,10,30,27,10,7,13,34,46,-12
1940-1941,12,30,29,8,13,9,39,44,-5
1941-1942,3,30,38,15,8,7,40,25,15
1942-1943,14,30,24,8,8,14,34,46,-12
1946-1947,19,38,27,10,7,21,43,66,-23
1949-1950,20,38,16,5,6,27,25,89,-64
1961-1962,13,34,29,8,13,13,35,41,-6
1962-1963,17,34,22,6,10,18,36,51,-15
1966-1967,17,34,17,4,9,21,29,57,-28
1998-1999,11,34,42,11,9,14,38,45,-7
1999-2000,16,34,26,6,8,20,30,60,-30
2001-2002,18,34,18,3,9,22,30,61,-31
2021-2022,20,38,27,6,9,23,34,69,-35
2024-2025,-,6,4,1,1,4,4,10,-6
