0,1,2,3,4,5,6,7,8,9
Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR
1957-1958,18,34,26,10,6,18,44,62,-18
1968-1969,10,30,26,9,8,13,40,49,-9
1969-1970,12,30,26,8,10,12,26,30,-4
1970-1971,11,30,26,7,12,11,23,35,-12
1971-1972,13,30,22,4,14,12,21,36,-15
1972-1973,10,30,26,5,16,9,28,34,-6
1973-1974,16,30,25,8,9,13,28,35,-7
1975-1976,11,30,24,8,8,14,35,46,-11
1976-1977,9,30,28,7,14,9,26,32,-6
1977-1978,10,30,26,6,14,10,25,30,-5
1978-1979,16,30,15,2,11,17,14,39,-25
1982-1983,4,30,35,11,13,6,37,31,6
1983-1984,8,30,32,12,8,10,43,35,8
1984-1985,1,30,43,15,13,2,42,19,23
1985-1986,10,30,28,9,10,11,31,40,-9
1986-1987,4,30,36,12,12,6,36,25,11
1987-1988,10,30,25,7,11,12,23,30,-7
1988-1989,11,34,29,5,19,10,18,27,-9
1989-1990,16,34,25,6,13,15,27,44,-17
1991-1992,16,34,21,7,7,20,24,57,-33
1996-1997,17,34,27,6,9,19,38,64,-26
1999-2000,9,34,43,10,13,11,40,45,-5
2000-2001,14,34,37,10,7,17,40,59,-19
2001-2002,15,34,39,11,6,17,41,53,-12
2013-2014,10,38,54,16,6,16,62,68,-6
2014-2015,13,38,46,11,13,14,49,65,-16
2015-2016,20,38,28,5,13,20,34,63,-29
2017-2018,19,38,25,7,4,27,30,78,-48
2019-2020,9,38,49,12,13,13,47,51,-4
2020-2021,10,38,45,11,12,15,46,48,-2
2021-2022,9,38,53,14,11,13,65,59,6
2022-2023,18,38,31,7,10,21,31,59,-28
2023-2024,13,38,38,9,11,18,38,51,-13
2024-2025,-,6,6,2,0,4,10,11,-1
