Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Inter Milan,In,Davide Frattesi,24,Italy,CM,35000000,US Sassuolo,29000000,2024
Inter Milan,In,Josep Martínez,26,Spain,GK,8000000,Genoa CFC,13500000,2024
Inter Milan,In,Carlos Augusto,25,"Brazil, Italy",LB,22000000,AC Monza,13000000,2024
Inter Milan,In,Marko Arnautovic,35,"Austria, Serbia",CF,4000000,Bologna FC 1909,8000000,2024
Inter Milan,In,Tomás Palacios,21,Argentina,CB,500000,CS Independiente Rivadavia,6500000,2024
Inter Milan,In,Piotr Zieliński,30,"Poland, Italy",CM,22000000,SSC Napoli,0,2024
Inter Milan,In,Mehdi Taremi,31,Iran,CF,10000000,FC Porto,0,2024
Inter Milan,In,Dennis Curatolo,20,Italy,CF,75000,Inter Milan Primavera,Other,2024
Inter Milan,In,Issiaka Kamate,19,"France, Cote d'Ivoire",RW,1000000,Inter Milan Primavera,Other,2024
Inter Milan,Out,Lucien Agoumé,22,"France, Cameroon",DM,6000000,Sevilla FC,4000000,2024
Inter Milan,Out,Gaetano Oristanio,21,Italy,AM,4000000,Venezia FC,4000000,2024
Inter Milan,Out,Mattia Zanotti,21,Italy,RB,4000000,FC Lugano,2500000,2024
Inter Milan,Out,Nikola Iliev,20,Bulgaria,AM,900000,Botev Plovdiv,300000,2024
Inter Milan,Out,Jacopo Gianelli,23,Italy,CM,Other,Ancona Calcio,0,2024
Inter Milan,Out,Juan Cuadrado,36,"Colombia, Italy",RM,1000000,Atalanta BC,0,2024
Inter Milan,Out,Stefano Sensi,29,Italy,CM,3000000,AC Monza,0,2024
Inter Milan,Out,Alexis Sánchez,35,Chile,CF,2500000,Udinese Calcio,0,2024
Inter Milan,Out,William Rovida,21,Italy,GK,200000,Aurora Pro Patria,Other,2024
Inter Milan,Out,Francesco Nunziatini,21,Italy,CM,25000,SEF Torres 1903,Other,2024
Inter Milan,Out,Andrea Moretti,22,Italy,CB,250000,US Triestina,Other,2024
Inter Milan,Out,Dennis Curatolo,20,Italy,CF,75000,Aurora Pro Patria,Other,2024
Inter Milan,Out,Alessandro Silvestro,21,Italy,RB,125000,Calcio Foggia 1920,Other,2024
Inter Milan,Out,Davy Klaassen,31,Netherlands,CM,4000000,Without Club,Other,2024
AC Milan,In,Youssouf Fofana,25,"France, Mali",DM,30000000,AS Monaco,20000000,2024
AC Milan,In,Strahinja Pavlović,23,Serbia,CB,25000000,Red Bull Salzburg,18000000,2024
AC Milan,In,Emerson Royal,25,"Brazil, Spain",RB,18000000,Tottenham Hotspur,15000000,2024
AC Milan,In,Álvaro Morata,31,Spain,CF,16000000,Atlético de Madrid,13000000,2024
AC Milan,In,Álex Jiménez,19,Spain,LB,4000000,Real Madrid U19,5000000,2024
AC Milan,In,Kevin Zeroli,19,"Italy, Nigeria",CM,2000000,Milan Primavera,Other,2024
AC Milan,In,Lorenzo Torriani,19,Italy,GK,10000,Milan Primavera,Other,2024
AC Milan,In,Jan-Carlo Simić,19,"Serbia, Germany",CB,5000000,Milan Primavera,Other,2024
