Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR,Team,Year,Coach,Nationality,Matches,Seasons,Finals,Titles,Points,PPM,Squad Size,Average Age,Foreigners,Average Market Value,Total Market Value ,Players In,Players Out,Average Age IN players,Average Age OUT players,Market Value IN Players,Market Value OUT Players,Fees Players IN,Fees Players OUT,Net_Spent
2007-2008,10,38,48,13,9,16,44,52,-8,Genoa CFC,2007,Gian Piero Gasperini,Italy,38,1,0,0,48,1.26,45,25.3,17,1410000,63250000,16,23,24,25.30434783,23375000,200000,23550000,10010000,-13540000
2008-2009,5,38,68,19,11,8,56,39,17,Genoa CFC,2008,Gian Piero Gasperini,Italy,38,1,0,0,68,1.79,47,23.6,15,1950000,91700000,26,16,22.34615385,25.5,63575000,0,55860000,39800000,-16060000
2009-2010,9,38,51,14,9,15,57,61,-4,Genoa CFC,2009,Gian Piero Gasperini,Italy,38,1,0,0,51,1.34,47,24.6,17,2890000,135850000,32,22,22.28125,25.59090909,84500000,235000,78990000,67500000,-11490000
2010-2011,10,38,51,14,9,15,45,47,-2,Genoa CFC,2010,Davide Ballardini,Italy,28,1,0,0,40,1.265,45,25.2,22,3740000,168180000,26,29,22.80769231,23.4137931,77050000,1675000,73650000,57000000,-16650000
2011-2012,17,38,42,11,9,18,50,69,-19,Genoa CFC,2011,Alberto Malesani,Italy,19,1,0,0,23,1.205,39,26.2,21,2670000,104300000,24,32,24.20833333,23.46875,70650000,10350000,52730000,77350000,24620000
2012-2013,17,38,38,8,14,16,38,52,-14,Genoa CFC,2012,Davide Ballardini,Italy,17,1,0,0,21,1.185,46,26.9,23,2140000,98500000,27,36,24.40740741,24.77777778,49500000,4325000,25800000,65050000,39250000
2013-2014,14,38,44,11,11,16,41,50,-9,Genoa CFC,2013,Gian Piero Gasperini,Italy,32,1,0,0,40,1.25,66,24.9,33,1550000,102100000,21,33,24.66666667,24.90909091,35475000,11250000,22680000,30031000,7351000
2014-2015,6,38,59,16,11,11,62,47,15,Genoa CFC,2014,Gian Piero Gasperini,Italy,38,1,0,0,59,1.55,48,25.6,21,2440000,117330000,15,27,24,25.81481481,24450000,1400000,5750000,25950000,20200000
2015-2016,11,38,46,13,7,18,45,48,-3,Genoa CFC,2015,Gian Piero Gasperini,Italy,38,1,0,0,46,1.21,47,24.8,27,2500000,117550000,14,23,25.07142857,24.91304348,28300000,11350000,15150000,41050000,25900000
2016-2017,16,38,36,9,9,20,38,64,-26,Genoa CFC,2016,Ivan Juric,Croatia,32,1,0,0,32,0.835,44,26.3,23,2460000,108180000,22,23,24.09090909,23.95652174,37925000,3150000,26900000,50300000,23400000
2017-2018,12,38,41,11,8,19,33,43,-10,Genoa CFC,2017,Davide Ballardini,Italy,26,1,0,0,35,1.35,44,26.5,25,3070000,135130000,16,23,24.5625,24.30434783,22550000,13775000,12350000,46650000,34300000
2018-2019,17,38,38,8,14,16,39,57,-18,Genoa CFC,2018,Davide Ballardini,Italy,7,1,0,0,12,1.335,69,24.3,35,2780000,191730000,24,30,24.33333333,25.63333333,39475000,18325000,50825000,84951000,34126000
2019-2020,17,38,39,10,9,19,47,73,-26,Genoa CFC,2019,Davide Nicola,Italy,21,1,0,0,28,1.33,43,26.7,25,3310000,142380000,18,28,25.88888889,23.25,52275000,74725000,49050000,57850000,8800000
2020-2021,11,38,42,10,12,16,47,58,-11,Genoa CFC,2020,Davide Ballardini,Italy,25,1,0,0,35,0.97,44,26.9,23,2540000,111930000,15,19,22.33333333,26.05263158,32325000,51850000,64800000,69650000,4850000
2021-2022,19,38,28,4,16,18,27,60,-33,Genoa CFC,2021,Alexander Blessin,Germany,16,1,0,0,16,0.875,47,26.5,24,2580000,121280000,22,17,24.09090909,26.17647059,61375000,10400000,38000000,20530000,-17470000
2023-2024,11,38,49,12,13,13,45,45,0,Genoa CFC,2023,Alberto Gilardino,Italy,38,1,0,0,49,1.29,44,25.9,29,4440000,195400000,15,19,25.4,24.94736842,55900000,40950000,44800000,32061000,-12739000
2024-2025,0,6,5,1,2,3,4,10,-6,Genoa CFC,2024,Alberto Gilardino,Italy,6,1,0,0,5,0.83,31,25.4,16,4380000,135850000,8,14,21.375,26.28571429,37900000,36375000,32000000,40790000,8790000
2004-2005,16,38,42,9,15,14,42,50,-8,ACF Fiorentina,2004,Sergio Buso,Italy,13,1,0,0,16,1.145,48,25.5,13,2330000,111830000,12,18,24.83333333,26.41176471,16000000,0,47000000,2000000,-45000000
2005-2006 (-30),9,38,44,22,8,8,66,41,25,ACF Fiorentina,2005,Cesare Prandelli,Italy,38,1,0,0,74,1.95,43,26.4,15,3230000,138680000,11,19,26.72727273,25.94736842,37800000,0,31300000,10190000,-21110000
2006-2007 (-15),6,38,58,21,10,7,62,31,31,ACF Fiorentina,2006,Cesare Prandelli,Italy,38,1,0,0,73,1.92,38,24.6,15,4200000,159600000,13,11,23.53846154,29.63636364,48550000,0,28750000,2600000,-26150000
2007-2008,4,38,66,19,9,10,55,39,16,ACF Fiorentina,2007,Cesare Prandelli,Italy,37,1,0,0,65,1.38,46,23.8,16,3730000,171350000,18,10,21.44444444,23.2,39775000,1000000,36750000,42216000,5466000
2008-2009,4,38,68,21,5,12,53,38,15,ACF Fiorentina,2008,Cesare Prandelli,Italy,38,1,0,0,68,1.79,38,25.5,18,5190000,197100000,8,10,22.375,26.8,42800000,0,46800000,18320000,-28480000
2009-2010,11,38,47,13,8,17,48,47,1,ACF Fiorentina,2009,Cesare Prandelli,Italy,38,1,0,0,47,1.24,46,24.5,22,4550000,209300000,14,13,22.92857143,24.76923077,31050000,150000,35450000,45000000,9550000
2010-2011,9,38,51,12,15,11,49,44,5,ACF Fiorentina,2010,Siniša Mihajlović,Serbia,38,1,0,0,51,1.34,42,24.9,22,4180000,175480000,9,13,23.22222222,22.84615385,40300000,500000,22800000,5300000,-17500000
2011-2012,13,38,46,11,13,14,37,43,-6,ACF Fiorentina,2011,Vincenzo Guerini,Italy,2,1,0,0,4,1.45,40,25.1,21,3270000,130830000,18,20,23.33333333,26.05,24450000,75000,17935000,19512000,1577000
2012-2013,4,38,70,21,7,10,72,44,28,ACF Fiorentina,2012,Vincenzo Montella,Italy,38,1,0,0,70,1.84,42,25.7,25,5090000,213650000,17,23,26.47058824,25.7826087,77600000,2025000,38090000,31700000,-6390000
2013-2014,4,38,65,19,8,11,65,44,21,ACF Fiorentina,2013,Vincenzo Montella,Italy,38,1,0,0,65,1.71,56,25.8,34,4450000,249130000,12,12,25.25,24.91666667,63350000,5700000,53300000,41000000,-12300000
2014-2015,4,38,64,18,10,10,61,46,15,ACF Fiorentina,2014,Vincenzo Montella,Italy,38,1,0,0,64,1.68,49,26.4,30,4410000,216130000,9,11,23.77777778,25.09090909,13950000,2800000,7600000,37400000,29800000
2015-2016,5,38,64,18,10,10,60,42,18,ACF Fiorentina,2015,Paulo Sousa,Portugal,38,1,0,0,64,1.68,39,26.6,29,4890000,190530000,11,20,23.45454545,27.6,27300000,8800000,20900000,26850000,5950000
2016-2017,8,38,60,16,12,10,63,57,6,ACF Fiorentina,2016,Paulo Sousa,Portugal,38,1,0,0,60,1.58,42,24.8,30,5170000,217080000,7,17,20.71428571,24.17647059,13425000,30900000,12400000,30250000,17850000
2017-2018,8,38,57,16,9,13,54,46,8,ACF Fiorentina,2017,Stefano Pioli,Italy,38,1,0,0,57,1.5,41,24.4,26,5790000,237330000,17,20,23.11764706,25.05,64200000,13350000,77800000,84900000,7100000
2018-2019,16,38,41,8,17,13,47,45,2,ACF Fiorentina,2018,Stefano Pioli,Italy,31,1,0,0,39,1.26,56,23.4,36,5630000,315330000,16,11,21.8125,25,59275000,4575000,56950000,40160000,-16790000
2019-2020,10,38,49,12,13,13,51,48,3,ACF Fiorentina,2019,Giuseppe Iachini,Italy,21,1,0,0,32,1.26,42,25.2,28,7200000,302230000,11,10,24.90909091,24.5,54100000,23675000,46400000,9520000,-36880000
2020-2021,13,38,40,9,13,16,47,59,-12,ACF Fiorentina,2020,Giuseppe Iachini,Italy,17,1,0,0,19,1.06,41,26.1,24,7000000,286800000,11,11,27.36363636,26.45454545,73500000,48825000,59800000,45000000,-14800000
2021-2022,7,38,62,19,5,14,59,51,8,ACF Fiorentina,2021,Vincenzo Italiano,Italy,38,1,0,0,62,1.63,38,25.9,22,8570000,325800000,6,22,23.16666667,25.5,69125000,122425000,63550000,113100000,49550000
2022-2023,8,38,56,15,11,12,53,43,10,ACF Fiorentina,2022,Vincenzo Italiano,Italy,38,1,0,0,56,1.47,38,25.6,18,6810000,258800000,8,14,25.625,24.5,70650000,42650000,35660000,50230000,14570000
2023-2024,8,38,60,17,9,12,61,46,15,ACF Fiorentina,2023,Vincenzo Italiano,Italy,38,1,0,0,60,1.58,41,25.7,21,6930000,284100000,15,18,20.53333333,25.38888889,50150000,63750000,41850000,53180000,11330000
2024-2025,0,6,7,1,4,1,7,7,0,ACF Fiorentina,2024,Raffaele Palladino,Italy,6,1,0,0,7,1.17,26,25.9,13,10220000,265700000,6,11,24.66666667,25.27272727,39000000,37725000,42000000,17600000,-24400000
2004-2005,18,38,42,9,15,14,33,36,-3,Bologna FC 1909,2004,Carlo Mazzone,Italy,40,1,0,0,45,1.13,40,26.3,6,748000,29940000,13,6,27.30769231,24,1200000,0,1000000,680000,-320000
2008-2009,17,38,37,9,10,19,43,62,-19,Bologna FC 1909,2008,Giuseppe Papadopulo,Italy,7,1,0,0,11,1.24,34,28.8,7,1190000,40300000,11,8,27.90909091,21.875,21050000,1000000,24200000,5500000,-18700000
2009-2010,17,38,42,10,12,16,42,55,-13,Bologna FC 1909,2009,Franco Colomba,Italy,30,1,0,0,36,1.2,38,28.1,9,1400000,53100000,12,14,26.75,31.92857143,19075000,75000,8950000,5700000,-3250000
2010-2011 (-3),16,38,42,11,12,15,35,52,-17,Bologna FC 1909,2010,Alberto Malesani,Italy,37,1,0,0,44,1.095,38,25,14,1660000,63050000,13,13,23.53846154,28.53846154,20000000,0,21410000,8200000,-13210000
2011-2012,9,38,51,13,12,13,41,43,-2,Bologna FC 1909,2011,Stefano Pioli,Italy,33,1,0,0,50,1.52,41,25.3,18,1560000,63900000,15,11,24.8,25.81818182,22700000,650000,20083000,20800000,717000
2012-2013,13,38,44,11,11,16,46,52,-6,Bologna FC 1909,2012,Stefano Pioli,Italy,38,1,0,0,44,1.16,49,25,18,1600000,78550000,13,9,24.15384615,28.77777778,14500000,1175000,8685000,17200000,8515000
2013-2014,19,38,29,5,14,19,28,58,-30,Bologna FC 1909,2013,Stefano Pioli,Italy,18,1,0,0,15,0.83,64,25.1,26,1090000,69830000,16,10,23.1875,24.5,12550000,2250000,6090000,18000000,11910000
2015-2016,14,38,42,11,9,18,33,45,-12,Bologna FC 1909,2015,Roberto Donadoni,Italy,28,1,0,0,36,1.29,42,26.3,17,1790000,75230000,15,22,26.2,27.45454545,35000000,1300000,22580000,800000,-21780000
2016-2017,15,38,41,11,8,19,40,58,-18,Bologna FC 1909,2016,Roberto Donadoni,Italy,38,1,0,0,41,1.08,48,25.2,22,1980000,95000000,18,14,22.5,29.07142857,28525000,1675000,30400000,16980000,-13420000
2017-2018,15,38,39,11,6,21,40,52,-12,Bologna FC 1909,2017,Roberto Donadoni,Italy,38,1,0,0,39,1.03,41,25.8,24,2530000,103550000,11,12,25.36363636,25.66666667,18600000,1110000,13000000,0,-13000000
2018-2019,10,38,44,11,11,16,48,56,-8,Bologna FC 1909,2018,Siniša Mihajlović,Serbia,17,1,0,0,30,1.215,48,25.4,28,2490000,119680000,9,15,23.22222222,25.53333333,17075000,12650000,29800000,43981000,14181000
2019-2020,12,38,47,12,11,15,52,65,-13,Bologna FC 1909,2019,Siniša Mihajlović,Serbia,27,1,0,0,35,1.195,40,25,26,3240000,129650000,17,14,22.88235294,25.21428571,79800000,10825000,69545000,28500000,-41045000
2020-2021,12,38,41,10,11,17,51,65,-14,Bologna FC 1909,2020,Siniša Mihajlović,Serbia,38,1,0,0,41,1.08,45,24.6,27,3410000,153600000,4,8,22.5,24.125,3300000,4450000,1972000,5000000,3028000
2021-2022,13,38,46,12,10,16,44,55,-11,Bologna FC 1909,2021,Siniša Mihajlović,Serbia,38,1,0,0,46,1.21,45,24.2,28,4140000,186200000,10,19,24.7,26,44225000,57350000,32305000,25000000,-7305000
2022-2023,9,38,54,14,12,12,53,49,4,Bologna FC 1909,2022,Luca Vigiani,Italy,1,1,0,0,3,1.7,38,25.3,22,4040000,153630000,13,15,20.69230769,25.13333333,44300000,64275000,48250000,42751000,-5499000
2023-2024,5,38,68,18,14,6,54,32,22,Bologna FC 1909,2023,Thiago Motta,Italy,38,1,0,0,68,1.79,37,25.1,26,9440000,349300000,11,16,22.09090909,24.75,67900000,61375000,84500000,37000000,-47500000
2024-2025,0,6,7,1,4,1,7,9,-2,Bologna FC 1909,2024,Vincenzo Italiano,Italy,6,1,0,0,7,1.17,31,25.3,22,9070000,281300000,8,10,24.625,24.2,65500000,107875000,51500000,97850000,46350000
2013-2014,10,38,54,16,6,16,62,68,-6,Hellas Verona,2013,Andrea Mandorlini,Italy,38,1,0,0,54,1.42,54,25.9,22,1240000,67130000,19,12,24.47368421,26.08333333,16075000,12500000,6800000,9500000,2700000
2014-2015,13,38,46,11,13,14,49,65,-16,Hellas Verona,2014,Andrea Mandorlini,Italy,38,1,0,0,46,1.21,38,26.9,23,1100000,41800000,19,22,25.15789474,25,40050000,7850000,21360000,29250000,7890000
2015-2016,20,38,28,5,13,20,34,63,-29,Hellas Verona,2015,Luigi Delneri,Italy,38,1,0,0,28,0.74,42,26.3,20,1140000,47730000,15,21,25.73333333,27.28571429,18425000,1000000,6300000,2050000,-4250000
2017-2018,19,38,25,7,4,27,30,78,-48,Hellas Verona,2017,Fabio Pecchia ,Italy,38,1,0,0,25,0.66,41,26,18,1380000,56500000,10,13,25.6,26.61538462,13250000,2500000,3050000,6750000,3700000
2019-2020,9,38,49,12,13,13,47,51,-4,Hellas Verona,2019,Ivan Juric,Croatia,38,1,0,0,49,1.29,40,25.4,19,2810000,112530000,21,14,25.0952381,23.57142857,34600000,42350000,21613000,43320000,21707000
2020-2021,10,38,45,11,12,15,46,48,-2,Hellas Verona,2020,Ivan Juric,Croatia,38,1,0,0,45,1.18,46,24.7,21,3420000,157210000,11,24,23.72727273,25.875,24325000,6025000,15250000,2100000,-13150000
2021-2022,9,38,53,14,11,13,65,59,6,Hellas Verona,2021,Igor Tudor,Croatia,35,1,0,0,53,1.51,43,25.2,19,3790000,162980000,10,14,23.2,26.92857143,43100000,14000000,38800000,37000000,-1800000
2022-2023,18,38,31,7,10,21,31,59,-28,Hellas Verona,2022,Marco Zaffaroni,Italy,24,1,1,1,29,0.885,46,25.2,26,2690000,123890000,18,11,23.83333333,24.54545455,53275000,89025000,40560000,28310000,-12250000
2023-2024,13,38,38,9,11,18,38,51,-13,Hellas Verona,2023,Marco Baroni,Italy,38,1,0,0,38,1,50,25.1,32,2810000,140700000,13,20,22.92307692,25.3,18725000,102800000,13700000,97900000,84200000
2024-2025,0,6,6,2,0,4,10,11,-1,Hellas Verona,2024,Paolo Zanetti,Italy,6,1,0,0,6,1,35,24.5,25,2210000,77200000,15,11,21.53333333,24.27272727,18925000,18125000,16100000,22140000,6040000
2004-2005,3,38,72,18,18,2,65,37,28,Inter Milan,2004,Roberto Mancini,Italy,38,1,0,0,72,1.89,50,24.9,25,4810000,240630000,16,20,23.75,25.55,2500000,0,15950000,28270000,12320000
2005-2006,1,38,76,23,7,8,68,30,38,Inter Milan,2005,Roberto Mancini,Italy,38,1,0,0,76,2,52,25.4,31,4520000,234930000,13,22,23.38461538,25.59090909,69150000,0,30400000,21755000,-8645000
2006-2007,1,38,97,30,7,1,80,34,46,Inter Milan,2006,Roberto Mancini,Italy,38,1,0,0,97,2.55,58,24.4,31,4610000,267230000,13,18,22.92307692,24.66666667,74050000,0,48400000,30810000,-17590000
2007-2008,1,38,85,25,10,3,69,26,43,Inter Milan,2007,Roberto Mancini,Italy,38,1,0,0,85,2.24,48,26,31,6460000,310000000,11,11,20.45454545,24.09090909,15950000,0,39800000,14200000,-25600000
2008-2009,1,38,84,25,9,4,70,32,38,Inter Milan,2008,José Mourinho,Portugal,38,1,0,0,84,2.21,32,28.5,25,10250000,327900000,16,11,21.3125,25.09090909,85500000,25000,75100000,9980000,-65120000
2009-2010,1,38,82,24,10,4,75,34,41,Inter Milan,2009,José Mourinho,Portugal,38,1,0,0,82,2.16,47,25.4,31,8440000,396500000,16,20,23.6875,25,127150000,400000,97200000,108500000,11300000
2010-2011,2,38,76,23,7,8,69,42,27,Inter Milan,2010,Leonardo,Brazil,23,1,0,0,53,1.915,44,26.2,27,7890000,346950000,11,18,21.81818182,23.66666667,41100000,1350000,36135000,65980000,29845000
2011-2012,6,38,58,17,7,14,58,55,3,Inter Milan,2011,Andrea Stramaccioni,Italy,9,1,0,0,17,1.715,48,26,28,6310000,303050000,9,14,22.66666667,25.14285714,46500000,5450000,35900000,52950000,17050000
2012-2013,9,38,54,16,6,16,55,57,-2,Inter Milan,2012,Andrea Stramaccioni,Italy,38,1,0,0,54,1.42,55,24.8,33,4410000,242800000,18,24,22.66666667,25.625,87650000,16250000,71300000,63301000,-7999000
2013-2014,5,38,60,15,15,8,62,39,23,Inter Milan,2013,Walter Mazzarri,Italy,38,1,0,0,60,1.58,63,24.7,36,4650000,292650000,17,14,24,23.64285714,82625000,10075000,57890000,8500000,-49390000
2014-2015,8,38,55,14,13,11,59,48,11,Inter Milan,2014,Walter Mazzarri,Italy,11,1,0,0,16,1.445,44,25,32,5930000,260700000,17,14,22.17647059,28.14285714,31050000,4725000,11150000,16150000,5000000
2015-2016,4,38,67,20,7,11,50,38,12,Inter Milan,2015,Roberto Mancini,Italy,38,1,0,0,67,1.76,42,25.7,30,7010000,294280000,13,37,23.30769231,24,72875000,41450000,89600000,112520000,22920000
2016-2017,7,38,62,19,5,14,72,49,23,Inter Milan,2016,Stefano Vecchi,Italy,4,1,0,0,9,1.74,41,25.9,29,8010000,328300000,16,9,24.125,22.11111111,169675000,9675000,162630000,14700000,-147930000
2017-2018,4,38,72,20,12,6,66,30,36,Inter Milan,2017,Luciano Spalletti,Italy,38,1,0,0,72,1.89,34,26.5,22,14330000,487280000,8,31,23.875,23.83870968,51900000,66500000,137100000,70640000,-66460000
2018-2019,4,38,69,20,9,9,57,33,24,Inter Milan,2018,Luciano Spalletti,Italy,38,1,0,0,69,1.82,60,24.5,30,10300000,617930000,8,23,22.75,22.95652174,138600000,43100000,80600000,89970000,9370000
2019-2020,2,38,82,24,10,4,81,36,45,Inter Milan,2019,Antonio Conte,Italy,38,1,0,0,82,2.16,34,27.3,19,17830000,606050000,13,17,22.61538462,22.76470588,262500000,24000000,177600000,56240000,-121360000
2020-2021,1,38,91,28,7,3,89,35,54,Inter Milan,2020,Antonio Conte,Italy,38,1,0,0,91,2.39,41,25.7,22,16190000,663900000,10,17,24.3,26.05882353,171900000,36375000,126500000,78850000,-47650000
2021-2022,2,38,84,25,9,4,84,32,52,Inter Milan,2021,Simone Inzaghi,Italy,38,1,0,0,84,2.21,36,27.7,20,15520000,558550000,7,15,28.14285714,26.33333333,75500000,124650000,36550000,205550000,169000000
2022-2023,3,38,72,23,3,12,71,42,29,Inter Milan,2022,Simone Inzaghi,Italy,38,1,0,0,72,1.89,35,26.9,22,16220000,567550000,11,15,22.27272727,26.2,74750000,41200000,54700000,23950000,-30750000
2023-2024,1,38,94,29,7,2,89,22,67,Inter Milan,2023,Simone Inzaghi,Italy,38,1,0,0,94,2.47,35,27.1,23,18710000,654850000,12,27,27.83333333,25.7037037,124350000,153125000,64750000,127820000,63070000
2024-2025,0,6,11,3,2,1,13,7,6,Inter Milan,2024,Simone Inzaghi,Italy,6,1,0,0,11,1.83,26,29,19,25860000,672300000,9,14,25.66666667,24.5,102575000,26075000,70000000,10800000,-59200000
2022-2023,11,38,52,14,10,14,48,52,-4,AC Monza,2022,Raffaele Palladino,Italy,32,1,0,0,51,1.59,41,26.6,12,3310000,135700000,12,11,23.91666667,28.90909091,25500000,1275000,38710000,0,-38710000
2023-2024,12,38,45,11,12,15,39,51,-12,AC Monza,2023,Raffaele Palladino,Italy,38,1,0,0,45,1.18,39,26.6,13,3680000,143430000,12,9,29.5,30,56000000,5950000,44800000,0,-44800000
2024-2025,0,6,3,0,3,3,4,8,-4,AC Monza,2024,Alessandro Nesta,Italy,6,1,0,0,3,0.5,28,27.6,8,3240000,90780000,5,8,23.6,28.625,13075000,26975000,3000000,13000000,10000000
2007-2008,8,38,50,14,8,16,50,53,-3,SSC Napoli,2007,Edoardo Reja,Italy,38,1,0,0,50,1.32,30,27.2,9,2570000,76950000,13,8,22.46153846,24.875,27630000,0,44060000,650000,-43410000
2008-2009,12,38,46,12,10,16,43,45,-2,SSC Napoli,2008,Edoardo Reja,Italy,27,1,0,0,35,1.15,31,27.4,10,3270000,101500000,9,14,26.22222222,26.64285714,24300000,0,30460000,10650000,-19810000
2009-2010,6,38,59,15,14,9,50,43,7,SSC Napoli,2009,Walter Mazzarri,Italy,31,1,0,0,52,1.34,34,27.1,12,4280000,145630000,9,4,25.44444444,28.75,40675000,0,55150000,3500000,-51650000
2010-2011,3,38,70,21,7,10,59,39,20,SSC Napoli,2010,Walter Mazzarri,Italy,38,1,0,0,70,1.84,31,28.3,10,5500000,170430000,9,9,22.77777778,27.44444444,13525000,0,14800000,6800000,-8000000
2011-2012,5,38,61,16,13,9,66,46,20,SSC Napoli,2011,Walter Mazzarri,Italy,38,1,0,0,61,1.61,29,28.7,15,7060000,204750000,16,23,24.875,27.04347826,77650000,3675000,71200000,23240000,-47960000
2012-2013,2,38,78,23,9,6,73,36,37,SSC Napoli,2012,Walter Mazzarri,Italy,38,1,0,0,78,2.05,41,26.7,18,5790000,237250000,9,6,24.55555556,22.5,36875000,0,26800000,30900000,4100000
2013-2014,3,38,78,23,9,6,77,39,38,SSC Napoli,2013,Rafael Benítez,Spain,38,1,0,0,78,2.05,36,27.3,25,7680000,276600000,15,13,25.4,28.38461538,98300000,1325000,107450000,72700000,-34750000
2014-2015,5,38,63,18,9,11,70,54,16,SSC Napoli,2014,Rafael Benítez,Spain,38,1,0,0,63,1.66,34,27.2,23,7710000,262180000,7,17,25.85714286,28.23529412,43400000,1175000,33550000,18651000,-14899000
2015-2016,2,38,82,25,7,6,80,32,48,SSC Napoli,2015,Maurizio Sarri,Italy,38,1,0,0,82,2.16,34,26.5,22,9470000,321930000,11,12,23.36363636,28.16666667,36400000,2150000,40950000,16560000,-24390000
2016-2017,3,38,86,26,8,4,94,39,55,SSC Napoli,2016,Maurizio Sarri,Italy,38,1,0,0,86,2.26,37,26.2,22,10470000,387300000,7,12,23.71428571,24.91666667,58250000,6550000,92590000,116405000,23815000
2017-2018,2,38,91,28,7,3,77,29,48,SSC Napoli,2017,Maurizio Sarri,Italy,38,1,0,0,91,2.39,40,25.6,24,12610000,504250000,8,11,23.75,25.63636364,38375000,2700000,64250000,14700000,-49550000
2018-2019,2,38,79,24,7,7,74,36,38,SSC Napoli,2018,Carlo Ancelotti,Italy,38,1,0,0,79,2.08,54,24.8,27,11980000,646800000,8,11,23,28.36363636,60900000,21275000,70500000,96800000,26300000
2019-2020,7,38,62,18,8,12,61,50,11,SSC Napoli,2019,Gennaro Gattuso,Italy,23,1,0,0,41,1.59,33,27.3,24,16610000,548280000,18,10,24.94444444,23.2,201575000,8350000,207515000,45090000,-162425000
2020-2021,5,38,77,24,5,9,86,41,45,SSC Napoli,2020,Gennaro Gattuso,Italy,38,1,0,0,77,2.03,32,26.5,21,16570000,530200000,4,16,20.75,27.125,40800000,11575000,78000000,117770000,39770000
2021-2022,3,38,79,24,7,7,74,31,43,SSC Napoli,2021,Luciano Spalletti,Italy,38,1,0,0,79,2.08,37,25.8,20,12900000,477230000,3,9,26,25.77777778,32050000,5125000,21500000,2500000,-19000000
2022-2023,1,38,90,28,6,4,77,28,49,SSC Napoli,2022,Luciano Spalletti,Italy,38,1,0,0,90,2.37,31,26.7,20,21100000,654080000,8,15,23.875,29.13333333,81150000,66300000,70300000,83258000,12958000
2023-2024,10,38,53,13,14,11,55,48,7,SSC Napoli,2023,Rudi Garcia,France,12,1,0,0,21,1.403333333,35,26.5,22,14710000,515000000,10,12,23.6,24.41666667,111025000,88625000,126000000,101500000,-24500000
2024-2025,0,6,13,4,1,1,11,4,7,SSC Napoli,2024,Antonio Conte,Italy,6,1,0,0,13,2.17,25,27.9,14,17260000,431400000,7,4,26.57142857,27,151500000,30950000,149500000,7000000,-142500000
2004-2005,13,38,44,10,14,14,51,60,-9,Cagliari Calcio,2004,Daniele Arrigoni,Italy,38,1,0,0,44,1.16,31,26.7,6,771000,23900000,8,10,23.875,26.2,0,0,700000,0,-700000
2005-2006,14,38,39,8,15,15,42,55,-13,Cagliari Calcio,2005,Nedo Sonetti,Italy,27,1,0,0,34,1.13,31,25.4,5,1150000,35650000,14,14,24.28571429,28.07142857,4500000,0,5000000,2000000,-3000000
2006-2007,17,38,40,9,13,16,35,46,-11,Cagliari Calcio,2006,Marco Giampaolo,Italy,30,1,0,0,33,0.99,36,25.2,5,1250000,45150000,8,9,24.5,25.33333333,1350000,0,0,0,0
2007-2008,14,38,42,11,9,18,40,56,-16,Cagliari Calcio,2007,Davide Ballardini,Italy,21,1,0,0,32,1.52,42,25,11,981000,41200000,17,11,23.17647059,28.72727273,7875000,0,8780000,17000000,8220000
2008-2009,9,38,53,15,8,15,49,50,-1,Cagliari Calcio,2008,Massimiliano Allegri,Italy,38,1,0,0,53,1.39,36,24.6,6,1270000,45680000,8,11,22.875,23.90909091,6675000,50000,19010000,6150000,-12860000
2009-2010,15,38,44,11,11,16,56,58,-2,Cagliari Calcio,2009,Massimiliano Allegri,Italy,33,1,0,0,40,1.21,35,24.7,7,2050000,71800000,9,6,23.44444444,25.66666667,15400000,100000,12300000,1050000,-11250000
2010-2011,14,38,45,12,9,17,44,51,-7,Cagliari Calcio,2010,Roberto Donadoni,Italy,26,1,0,0,34,1.115,37,27.7,6,2300000,85030000,7,16,25.57142857,26.3125,5800000,800000,6300000,6057000,-243000
2011-2012,15,38,43,10,13,15,37,46,-9,Cagliari Calcio,2011,Massimo Ficcadenti,Italy,21,1,0,0,25,1.125,33,25.2,12,2170000,71650000,10,8,22.5,26.25,6675000,400000,5510000,25700000,20190000
