Club,Year,Coach,Nationality,Matches,Seasons,Finals,Titles,Points,PPM
AC Milan,2024,Paulo Fonseca,Portugal,6,1,0,0,11,1.83
AC Monza,2024,Alessandro Nesta,Italy,6,1,0,0,3,0.5
ACF Fiorentina,2024,Raffaele Palladino,Italy,6,1,0,0,7,1.17
AS Roma,2024,Ivan Juric,Croatia,2,1,0,0,6,1.875
Atalanta BC,2024,Gian Piero Gasperini,Italy,6,1,0,0,7,1.17
Bologna FC 1909,2024,Vincenzo Italiano,Italy,6,1,0,0,7,1.17
Cagliari Calcio,2024,Davide Nicola,Italy,6,1,0,0,5,0.83
Como 1907,2024,Cesc Fàbregas,Spain,6,1,0,0,8,1.33
FC Empoli,2024,Roberto D'Aversa,Italy,6,1,0,0,10,1.67
Genoa CFC,2024,Alberto Gilardino,Italy,6,1,0,0,5,0.83
Hellas Verona,2024,Paolo Zanetti,Italy,6,1,0,0,6,1
Inter Milan,2024,Simone Inzaghi,Italy,6,1,0,0,11,1.83
Juventus FC,2024,Thiago Motta,Italy,6,1,0,0,12,2
Parma Calcio 1913,2024,Fabio Pecchia,Italy,6,1,0,0,5,0.83
SS Lazio,2024,Marco Baroni,Italy,6,1,0,0,10,1.67
SSC Napoli,2024,Antonio Conte,Italy,6,1,0,0,13,2.17
Torino FC,2024,Paolo Vanoli,Italy,6,1,0,0,11,1.83
US Lecce,2024,Luca Gotti,Italy,6,1,0,0,5,0.83
Udinese Calcio,2024,Kosta Runjaic,Germany,6,1,0,0,10,1.67
Venezia FC,2024,Eusebio Di Francesco,Italy,6,1,0,0,4,0.67
AC Milan,2023,Stefano Pioli,Italy,38,1,0,0,75,1.97
AC Monza,2023,Raffaele Palladino,Italy,38,1,0,0,45,1.18
ACF Fiorentina,2023,Vincenzo Italiano,Italy,38,1,0,0,60,1.58
AS Roma,2023,Daniele De Rossi,Italy,18,1,0,0,34,1.67
Atalanta BC,2023,Gian Piero Gasperini,Italy,38,1,0,0,69,1.82
Bologna FC 1909,2023,Thiago Motta,Italy,38,1,0,0,68,1.79
Cagliari Calcio,2023,Claudio Ranieri,Italy,38,1,0,0,36,0.95
FC Empoli,2023,Davide Nicola,Italy,18,1,0,0,23,1.28
Frosinone Calcio,2023,Eusebio Di Francesco,Italy,38,1,0,0,35,0.92
Genoa CFC,2023,Alberto Gilardino,Italy,38,1,0,0,49,1.29
Hellas Verona,2023,Marco Baroni,Italy,38,1,0,0,38,1
Inter Milan,2023,Simone Inzaghi,Italy,38,1,0,0,94,2.47
Juventus FC,2023,Paolo Montero,Uruguay,2,1,0,0,4,1.93
SS Lazio,2023,Giovanni Martusciello,Italy,1,1,0,0,3,2.143333333
SSC Napoli,2023,Rudi Garcia,France,12,1,0,0,21,1.403333333
Torino FC,2023,Ivan Juric,Croatia,38,1,0,0,53,1.39
US Lecce,2023,Luca Gotti,Italy,10,1,0,0,13,1.3
Udinese Calcio,2023,Fabio Cannavaro,Italy,6,1,0,0,9,1.23
AC Milan,2022,Stefano Pioli,Italy,38,1,0,0,70,1.84
AC Monza,2022,Raffaele Palladino,Italy,32,1,0,0,51,1.59
ACF Fiorentina,2022,Vincenzo Italiano,Italy,38,1,0,0,56,1.47
AS Roma,2022,José Mourinho,Portugal,38,1,0,0,63,1.66
Atalanta BC,2022,Gian Piero Gasperini,Italy,38,1,0,0,64,1.68
Bologna FC 1909,2022,Luca Vigiani,Italy,1,1,0,0,3,1.7
FC Empoli,2022,Paolo Zanetti,Italy,38,1,0,0,43,1.13
Hellas Verona,2022,Marco Zaffaroni,Italy,24,1,1,1,29,0.885
Inter Milan,2022,Simone Inzaghi,Italy,38,1,0,0,72,1.89
Juventus FC,2022,Massimiliano Allegri,Italy,38,1,0,0,72,1.89
SS Lazio,2022,Maurizio Sarri,Italy,38,1,0,0,74,1.95
SSC Napoli,2022,Luciano Spalletti,Italy,38,1,0,0,90,2.37
Spezia Calcio,2022,Luca Gotti,Italy,22,1,0,0,19,0.805
Torino FC,2022,Ivan Juric,Croatia,38,1,0,0,53,1.39
UC Sampdoria,2022,Dejan Stankovic,Serbia,30,1,0,0,17,0.57
US Cremonese,2022,Davide Ballardini,Italy,20,1,0,0,20,1
US Lecce,2022,Marco Baroni,Italy,38,1,0,0,36,0.95
US Salernitana 1919,2022,Paulo Sousa,Portugal,16,1,0,0,21,1.13
US Sassuolo,2022,Alessio Dionisi,Italy,38,1,0,0,45,1.18
Udinese Calcio,2022,Andrea Sottil,Italy,38,1,0,0,46,1.21
AC Milan,2021,Stefano Pioli,Italy,38,1,0,0,86,2.26
ACF Fiorentina,2021,Vincenzo Italiano,Italy,38,1,0,0,62,1.63
AS Roma,2021,José Mourinho,Portugal,38,1,0,0,63,1.66
Atalanta BC,2021,Gian Piero Gasperini,Italy,38,1,0,0,59,1.55
Bologna FC 1909,2021,Siniša Mihajlović,Serbia,38,1,0,0,46,1.21
Cagliari Calcio,2021,Walter Mazzarri,Italy,32,1,0,0,27,0.755
FC Empoli,2021,Aurelio Andreazzoli,Italy,38,1,0,0,41,1.08
Genoa CFC,2021,Alexander Blessin,Germany,16,1,0,0,16,0.875
Hellas Verona,2021,Igor Tudor,Croatia,35,1,0,0,53,1.51
Inter Milan,2021,Simone Inzaghi,Italy,38,1,0,0,84,2.21
Juventus FC,2021,Massimiliano Allegri,Italy,38,1,0,0,70,1.84
SS Lazio,2021,Maurizio Sarri,Italy,38,1,0,0,64,1.68
SSC Napoli,2021,Luciano Spalletti,Italy,38,1,0,0,79,2.08
Spezia Calcio,2021,Thiago Motta,Italy,38,1,0,0,36,0.95
Torino FC,2021,Ivan Juric,Croatia,38,1,0,0,50,1.32
UC Sampdoria,2021,Marco Giampaolo,Italy,16,1,0,0,16,0.955
US Salernitana 1919,2021,Davide Nicola,Italy,15,1,0,0,18,1.2
US Sassuolo,2021,Alessio Dionisi,Italy,38,1,0,0,50,1.32
Udinese Calcio,2021,Gabriele Cioffi,Italy,22,1,0,0,31,1.205
Venezia FC,2021,Andrea Soncin,Italy,5,1,0,0,5,0.835
AC Milan,2020,Stefano Pioli,Italy,38,1,0,0,79,2.08
ACF Fiorentina,2020,Giuseppe Iachini,Italy,17,1,0,0,19,1.06
AS Roma,2020,Paulo Fonseca,Portugal,38,1,0,0,62,1.63
Atalanta BC,2020,Gian Piero Gasperini,Italy,38,1,0,0,78,2.05
Benevento Calcio,2020,Filippo Inzaghi,Italy,38,1,0,0,33,0.87
Bologna FC 1909,2020,Siniša Mihajlović,Serbia,38,1,0,0,41,1.08
Cagliari Calcio,2020,Leonardo Semplici,Italy,15,1,0,0,22,1.06
FC Crotone,2020,Serse Cosmi,Italy,14,1,0,0,11,0.645
Genoa CFC,2020,Davide Ballardini,Italy,25,1,0,0,35,0.97
Hellas Verona,2020,Ivan Juric,Croatia,38,1,0,0,45,1.18
Inter Milan,2020,Antonio Conte,Italy,38,1,0,0,91,2.39
Juventus FC,2020,Andrea Pirlo,Italy,38,1,0,0,78,2.05
Parma Calcio 1913,2020,Fabio Liverani,Italy,16,1,0,0,12,0.75
SS Lazio,2020,Simone Inzaghi,Italy,38,1,0,0,68,1.79
SSC Napoli,2020,Gennaro Gattuso,Italy,38,1,0,0,77,2.03
Spezia Calcio,2020,Vincenzo Italiano,Italy,38,1,0,0,39,1.03
Torino FC,2020,Davide Nicola,Italy,20,1,0,0,24,0.96
UC Sampdoria,2020,Claudio Ranieri,Italy,38,1,0,0,52,1.37
US Sassuolo,2020,Roberto De Zerbi,Italy,38,1,0,0,62,1.63
Udinese Calcio,2020,Luca Gotti,Italy,38,1,0,0,40,1.05
AC Milan,2019,Stefano Pioli,Italy,31,1,0,0,57,1.565
ACF Fiorentina,2019,Giuseppe Iachini,Italy,21,1,0,0,32,1.26
AS Roma,2019,Paulo Fonseca,Portugal,38,1,0,0,70,1.84
Atalanta BC,2019,Gian Piero Gasperini,Italy,38,1,0,0,78,2.05
Bologna FC 1909,2019,Siniša Mihajlović,Serbia,27,1,0,0,35,1.195
Brescia Calcio,2019,Eugenio Corini,Italy,19,1,0,0,15,0.79
Cagliari Calcio,2019,Rolando Maran,Italy,25,1,0,0,32,1.14
Genoa CFC,2019,Davide Nicola,Italy,21,1,0,0,28,1.33
Hellas Verona,2019,Ivan Juric,Croatia,38,1,0,0,49,1.29
Inter Milan,2019,Antonio Conte,Italy,38,1,0,0,82,2.16
Juventus FC,2019,Maurizio Sarri,Italy,38,1,0,0,83,2.18
Parma Calcio 1913,2019,Roberto D'Aversa,Italy,38,1,0,0,49,1.29
SS Lazio,2019,Simone Inzaghi,Italy,38,1,0,0,78,2.05
