Team,Squad Size,Average Age,Foreigners,Average Market Value,Total Market Value (€),Year
Inter Milan,26,29,19,25860000,672300000,2024
AC Milan,26,25.8,19,23120000,601010000,2024
Juventus FC,27,25.8,19,21300000,575150000,2024
SSC Napoli,25,27.9,14,17260000,431400000,2024
Atalanta BC,26,27.3,15,16390000,426100000,2024
AS Roma,26,26.2,19,13020000,338500000,2024
Bologna FC 1909,31,25.3,22,9070000,281300000,2024
ACF Fiorentina,26,25.9,13,10220000,265700000,2024
SS Lazio,31,26.6,21,7230000,224050000,2024
Torino FC,27,26.5,24,6300000,170230000,2024
Genoa CFC,31,25.4,16,4380000,135850000,2024
Udinese Calcio,32,25.6,29,3510000,112480000,2024
Parma Calcio 1913,29,24.7,23,3600000,104500000,2024
US Lecce,35,24.5,29,2670000,93500000,2024
AC Monza,28,27.6,8,3240000,90780000,2024
Como 1907,32,27.3,16,2660000,85100000,2024
Hellas Verona,35,24.5,25,2210000,77200000,2024
Cagliari Calcio,26,27.3,13,2670000,69350000,2024
FC Empoli,28,25.2,15,2110000,59130000,2024
Venezia FC,30,25.6,20,1930000,57780000,2024
Inter Milan,35,27.1,23,18710000,654850000,2023
AC Milan,42,24.6,26,13610000,571410000,2023
SSC Napoli,35,26.5,22,14710000,515000000,2023
Juventus FC,39,25.2,19,12940000,504530000,2023
Atalanta BC,42,25.2,21,10380000,436050000,2023
Bologna FC 1909,37,25.1,26,9440000,349300000,2023
AS Roma,41,25.2,24,8300000,340400000,2023
ACF Fiorentina,41,25.7,21,6930000,284100000,2023
Torino FC,45,24.3,33,5170000,232730000,2023
SS Lazio,37,26.4,20,6090000,225450000,2023
Genoa CFC,44,25.9,29,4440000,195400000,2023
Udinese Calcio,45,24.7,36,3780000,170060000,2023
AC Monza,39,26.6,13,3680000,143430000,2023
Hellas Verona,50,25.1,32,2810000,140700000,2023
US Sassuolo,38,25.5,21,3670000,139540000,2023
Frosinone Calcio,45,25.3,25,2400000,108130000,2023
US Lecce,39,24.6,30,2760000,107730000,2023
FC Empoli,47,25.3,20,2180000,102330000,2023
US Salernitana 1919,50,25.6,31,1890000,94600000,2023
Cagliari Calcio,38,27,19,2430000,92230000,2023
SSC Napoli,31,26.7,20,21100000,654080000,2022
Inter Milan,35,26.9,22,16220000,567550000,2022
AC Milan,36,26.4,27,15140000,545100000,2022
Juventus FC,40,25.9,19,12080000,483130000,2022
